Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],67,0,280,275.170388554202,52.1614599856548,409.59985001245514,3753.7611940298507,8.074022860000882,0.0,280,290,290,290,290,310,310,410,410,410,410
POST,/posts,3,0,290,295.1721539914918,289.7623580065556,304.6763130114414,62.666666666666664,0.36152341164183055,0.0,290,290,300,300,300,300,300,300,300,300,300
,Aggregated,70,0,280,276.027607072943,52.1614599856548,409.59985001245514,3595.5714285714284,8.435546271642712,0.0,280,290,290,290,300,310,310,410,410,410,410
