Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],7841,4,840,1440.9990694683952,160.18710000207648,13601.8100999936,821.9561280448922,11.879283238719196,0.00606008582513414,840,1300,1800,2100,3300,4600,6300,7600,12000,14000,14000
GET,/post/[zipf_id],7318,6,27,84.83231814726311,14.764599996851757,16589.437800023006,154.4206067231484,11.086927017082907,0.009090128737701209,27,36,46,54,100,190,470,1100,5900,17000,17000
POST,/posts,855,2,790,1358.4471815206487,139.1826999897603,17105.570899992017,0.0,1.2953433451224223,0.00303004291256707,790,1300,1700,2000,3100,4300,6500,7700,17000,17000,17000
,Aggregated,16014,12,320,816.8570593295568,14.764599996851757,17105.570899992017,473.02410390907954,24.261553600924525,0.018180257475402417,320,650,940,1300,2300,3500,5200,6600,11000,17000,17000
