Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],6050,1,1300,2124.8488460495973,168.4800000002724,35442.16790000064,821.6778512396694,9.16205944830721,0.001514389991455737,1300,1900,2700,3100,4800,6800,9700,12000,20000,35000,35000
GET,/post/[zipf_id],5455,4,28,361.5863588084897,13.70879999740282,31420.50119999476,158.7569202566453,8.260997403391045,0.006057559965822948,28,37,48,60,160,2100,4800,7800,18000,31000,31000
POST,/posts,650,0,1300,2164.1583527692896,150.62570000009146,19406.332800004748,0.0,0.984353494446229,0.0,1300,2000,2700,3200,5200,7200,9600,13000,19000,19000,19000
,Aggregated,12155,5,510,1335.622545059681,13.70879999740282,35442.16790000064,480.2278897573015,18.407410346144484,0.007571949957278685,510,1100,1600,2100,3800,5500,8500,11000,19000,33000,35000
