Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/feed/[id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",1,2026-07-03T14:52:41Z,2026-07-03T14:52:41Z
GET,/post/[zipf_id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",4,2026-07-03T14:52:43Z,2026-07-03T14:54:57Z
