cache_size,dana_mean_cpu,dana_max_cpu,remote_mean_cpu,remote_max_cpu,total_mean_cpu,total_max_cpu,dana_mean_memory,remote_mean_memory,total_mean_memory,dana_max_memory,remote_max_memory,total_max_memory,requests_per_second,average_latency_ms,p50,p75,p90,p95,p99
100,0.4322666666666665,0.565,0.11791333333333331,0.172,0.5501800000000001,0.724,38.766666666666666,65.94,104.70666666666666,40.0,67.0,106.0,33.75044424528302,287.81172116374904,310,410,480,520,570
200,0.4422733333333334,0.552,0.2507933333333333,1.077,0.6930666666666667,1.131,38.20666666666666,46.56666666666667,84.77333333333333,39.0,55.0,93.0,33.74163921383648,284.46125018276723,300,410,490,520,580
300,0.45479333333333327,0.57,0.29384,2.112,0.7486333333333334,2.166,38.53333333333333,43.49333333333333,82.02666666666667,39.0,50.0,88.0,33.70075871069183,287.29702931460577,310,410,490,530,580
400,0.41738,0.549,0.4515933333333333,2.498,0.8689733333333334,2.5340000000000003,39.00666666666667,50.78,89.78666666666666,40.0,51.0,91.0,33.78314864779875,286.18388592540055,300,400,480,510,570
500,0.44048125000000005,0.563,0.16980625,0.999,0.6102875,1.045,38.93125,59.175,98.10625,40.0,60.0,100.0,33.70075871069183,286.25571432207056,310,410,480,520,570
