Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],1900,0,1900,1703.7526091631842,31.83030400032294,5022.231752998778,862.4821052631579,5.268016914564946,0.0,1900,2100,2200,2300,2400,2500,2700,2700,3600,5000,5000
POST,/post,420,0,1200,1104.7388930738111,13.349990000278922,2159.053101000609,7.0,1.164509002166988,0.0,1200,1500,1600,1700,1800,1900,2000,2100,2200,2200,2200
GET,/post/[zipf_id],7994,0,1400,1298.223006994765,14.777468000829685,2423.2468430000154,169.82249186890166,22.16448800791167,0.0,1400,1600,1700,1800,1900,2000,2100,2200,2300,2400,2400
,Aggregated,10314,0,1500,1365.04896358515,13.349990000278922,5022.231752998778,290.79086678301337,28.597013924643605,0.0,1500,1700,1800,1900,2100,2200,2400,2500,2900,3600,5000
