Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],3112,23,1100,1116.175711664554,60.0243000080809,4534.033899893984,844.172557840617,8.645908915774225,0.06389971242378123,1100,1200,1200,1200,1400,1600,2300,2600,3900,4500,4500
POST,/post,714,1,1100,1026.7029065822696,50.14010006561875,2599.3485999060795,6.990196078431373,1.9836693335034694,0.002778248366251358,1100,1100,1100,1100,1200,1300,1500,2000,2600,2600,2600
GET,/post/[zipf_id],13935,48,1100,1087.8326420882488,46.45390005316585,3539.597299997695,167.3336203803373,38.71489098371267,0.13335592158006518,1100,1100,1100,1200,1200,1300,1500,2100,2400,3400,3500
,Aggregated,17761,72,1100,1090.341340999917,46.45390005316585,4534.033899893984,279.4803220539384,49.34446923299036,0.20003388237009775,1100,1100,1100,1200,1200,1300,1600,2200,3300,4300,4500
