Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],668,2,470,685.741954041829,42.85990004427731,4465.37220000755,854.8188622754491,7.382038417673064,0.022101911430158876,470,740,1000,1200,1600,1700,1900,2300,4500,4500,4500
POST,/post,926,1,1500,1423.4050933038313,18.476400000508875,4713.600999966729,6.99244060475162,10.23318499216356,0.011050955715079438,1500,1700,1700,1800,2000,2300,3300,3400,4700,4700,4700
GET,/post/[zipf_id],1423,2,330,553.6944615597871,19.801099959295243,1986.9357999996282,168.70344342937457,15.72550998255804,0.022101911430158876,330,900,1100,1100,1200,1300,1400,1500,1900,2000,2000
,Aggregated,3017,5,840,849.8693936025411,18.476400000508875,4713.600999966729,270.9840901557839,33.34073339239466,0.055254778575397186,840,1200,1300,1400,1700,1900,2200,3000,3900,4700,4700
