Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],1133,2,1200,1080.3698542801067,33.406700007617474,3172.4548999918625,856.6654898499559,7.08646100765085,0.01250919860132542,1200,1400,1500,1500,1600,1700,1800,2100,3100,3200,3200
POST,/post,703,0,1100,907.9724543394751,16.352100006770343,1687.4351999722421,7.0,4.3969833083658845,0.0,1100,1200,1300,1300,1400,1400,1500,1500,1700,1700,1700
GET,/post/[zipf_id],5077,1,1100,941.2682579484707,18.823199963662773,2421.8935999670066,168.78392751624975,31.754600649464578,0.00625459930066271,1100,1200,1300,1300,1400,1400,1500,1500,1700,2400,2400
,Aggregated,6913,3,1100,960.6802583399941,16.352100006770343,3172.4548999918625,265.0714595689281,43.238044965481315,0.01876379790198813,1100,1200,1300,1300,1400,1500,1600,1700,2500,3200,3200
