Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],2859,0,3000,4016.8503722625155,192.14080000529066,29085.478499997407,828.3403287862889,4.330706122498971,0.0,3000,4300,5100,6000,8800,11000,14000,17000,27000,29000,29000
GET,/post/[zipf_id],2208,0,3100,4240.792247146388,364.52549998648465,27580.578199995216,169.6725543478261,3.3445957042594365,0.0,3200,4600,5600,6200,8400,11000,15000,16000,26000,28000,28000
POST,/posts,315,0,3000,3989.711901906412,614.5673000137322,21541.325600002892,0.0,0.4771502023739685,0.0,3000,4000,5000,6200,8200,11000,13000,15000,22000,22000,22000
,Aggregated,5382,0,3100,4107.135589947672,192.14080000529066,29085.478499997407,509.6361947231512,8.152452029132377,0.0,3100,4500,5300,6100,8500,11000,14000,17000,27000,29000,29000
