timestamp,CPU,Memory
1786716609,0m,16Mi
1786716610,0m,16Mi
1786716611,0m,16Mi
1786716612,0m,16Mi
1786716613,0m,16Mi
1786716614,0m,16Mi
1786716615,0m,16Mi
1786716616,0m,16Mi
1786716617,0m,16Mi
1786716618,0m,16Mi
1786716620,0m,16Mi
1786716621,0m,16Mi
1786716622,0m,16Mi
1786716623,0m,16Mi
1786716624,62m,20Mi
1786716625,62m,20Mi
1786716626,62m,20Mi
1786716627,62m,20Mi
1786716628,62m,20Mi
1786716629,62m,20Mi
1786716630,62m,20Mi
1786716631,62m,20Mi
1786716632,62m,20Mi
1786716633,62m,20Mi
1786716635,62m,20Mi
1786716636,62m,20Mi
1786716637,62m,20Mi
1786716638,62m,20Mi
1786716639,177m,22Mi
1786716640,177m,22Mi
1786716641,177m,22Mi
1786716642,177m,22Mi
1786716643,177m,22Mi
1786716644,177m,22Mi
1786716645,177m,22Mi
1786716646,177m,22Mi
1786716647,177m,22Mi
1786716648,177m,22Mi
1786716649,177m,22Mi
1786716650,177m,22Mi
1786716652,177m,22Mi
1786716653,177m,22Mi
1786716654,322m,24Mi
1786716655,322m,24Mi
1786716656,322m,24Mi
1786716657,322m,24Mi
1786716658,322m,24Mi
1786716659,322m,24Mi
1786716660,322m,24Mi
1786716661,322m,24Mi
1786716662,322m,24Mi
1786716663,322m,24Mi
1786716664,322m,24Mi
1786716665,322m,24Mi
1786716666,322m,24Mi
1786716667,322m,24Mi
1786716669,508m,25Mi
1786716670,508m,25Mi
1786716671,508m,25Mi
1786716672,508m,25Mi
1786716673,508m,25Mi
1786716674,508m,25Mi
1786716675,508m,25Mi
1786716676,508m,25Mi
1786716677,508m,25Mi
1786716678,508m,25Mi
1786716679,508m,25Mi
1786716680,508m,25Mi
1786716681,508m,25Mi
1786716682,508m,25Mi
1786716683,508m,25Mi
1786716685,564m,25Mi
1786716686,564m,25Mi
1786716687,564m,25Mi
1786716688,564m,25Mi
1786716689,564m,25Mi
1786716690,564m,25Mi
1786716691,564m,25Mi
1786716692,564m,25Mi
1786716693,564m,25Mi
1786716694,564m,25Mi
1786716695,564m,25Mi
1786716696,564m,25Mi
1786716697,564m,25Mi
1786716698,564m,25Mi
1786716699,619m,25Mi
1786716700,619m,25Mi
1786716702,619m,25Mi
1786716703,619m,25Mi
1786716704,619m,25Mi
1786716705,619m,25Mi
1786716706,619m,25Mi
1786716707,619m,25Mi
1786716708,619m,25Mi
1786716709,619m,25Mi
1786716710,619m,25Mi
1786716711,619m,25Mi
1786716712,619m,25Mi
1786716713,619m,25Mi
1786716714,687m,26Mi
1786716715,687m,26Mi
1786716717,687m,26Mi
1786716718,687m,26Mi
1786716719,687m,26Mi
1786716720,687m,26Mi
1786716721,687m,26Mi
1786716722,687m,26Mi
1786716723,687m,26Mi
1786716724,687m,26Mi
1786716725,687m,26Mi
1786716726,687m,26Mi
1786716727,687m,26Mi
1786716728,687m,26Mi
1786716729,744m,26Mi
1786716730,744m,26Mi
1786716731,744m,26Mi
1786716732,744m,26Mi
1786716734,744m,26Mi
1786716735,744m,26Mi
1786716736,744m,26Mi
1786716737,744m,26Mi
1786716738,744m,26Mi
1786716739,744m,26Mi
1786716740,744m,26Mi
1786716741,744m,26Mi
1786716742,744m,26Mi
1786716743,744m,26Mi
1786716744,800m,27Mi
1786716745,800m,27Mi
1786716746,800m,27Mi
1786716747,800m,27Mi
1786716749,800m,27Mi
1786716750,800m,27Mi
1786716751,800m,27Mi
1786716752,800m,27Mi
1786716753,800m,27Mi
1786716754,800m,27Mi
1786716755,800m,27Mi
1786716756,800m,27Mi
1786716757,800m,27Mi
1786716758,800m,27Mi
1786716759,866m,28Mi
1786716760,866m,28Mi
1786716761,866m,28Mi
1786716762,866m,28Mi
1786716764,866m,28Mi
1786716765,866m,28Mi
1786716766,866m,28Mi
1786716767,866m,28Mi
1786716768,866m,28Mi
1786716769,866m,28Mi
1786716770,866m,28Mi
1786716771,866m,28Mi
1786716772,866m,28Mi
1786716773,866m,28Mi
1786716774,918m,28Mi
1786716775,918m,28Mi
1786716776,918m,28Mi
1786716777,918m,28Mi
1786716779,918m,28Mi
1786716780,918m,28Mi
1786716781,918m,28Mi
1786716782,918m,28Mi
1786716783,918m,28Mi
1786716784,918m,28Mi
1786716785,918m,28Mi
1786716786,918m,28Mi
1786716787,918m,28Mi
1786716788,918m,28Mi
1786716789,964m,28Mi
1786716790,964m,28Mi
1786716791,964m,28Mi
1786716792,964m,28Mi
1786716793,964m,28Mi
1786716795,964m,28Mi
1786716796,964m,28Mi
1786716797,964m,28Mi
1786716798,964m,28Mi
1786716799,964m,28Mi
1786716800,964m,28Mi
1786716801,964m,28Mi
1786716802,964m,28Mi
1786716803,964m,28Mi
1786716804,999m,28Mi
1786716805,999m,28Mi
1786716806,999m,28Mi
1786716807,999m,28Mi
1786716808,999m,28Mi
1786716809,999m,28Mi
1786716811,999m,28Mi
1786716812,999m,28Mi
1786716813,999m,28Mi
1786716814,999m,28Mi
1786716815,999m,28Mi
1786716816,999m,28Mi
1786716817,999m,28Mi
1786716818,999m,28Mi
1786716819,1000m,29Mi
1786716820,1000m,29Mi
1786716821,1000m,29Mi
1786716822,1000m,29Mi
1786716823,1000m,29Mi
1786716824,1000m,29Mi
1786716825,1000m,29Mi
1786716827,1000m,29Mi
1786716828,1000m,29Mi
1786716829,1000m,29Mi
1786716830,1000m,29Mi
1786716831,1000m,29Mi
1786716832,1000m,29Mi
1786716833,1000m,29Mi
1786716834,1000m,31Mi
1786716835,1000m,31Mi
1786716836,1000m,31Mi
1786716837,1000m,31Mi
1786716838,1000m,31Mi
1786716839,1000m,31Mi
1786716840,1000m,31Mi
1786716842,1000m,31Mi
1786716843,1000m,31Mi
1786716844,1000m,31Mi
1786716845,1000m,31Mi
1786716846,1000m,31Mi
1786716847,1000m,31Mi
1786716848,1000m,31Mi
1786716849,1000m,31Mi
1786716850,1000m,31Mi
1786716851,1000m,31Mi
1786716852,1000m,31Mi
1786716853,1000m,31Mi
1786716854,1000m,31Mi
1786716855,1000m,31Mi
1786716856,1000m,31Mi
1786716858,1000m,31Mi
1786716859,1000m,31Mi
1786716860,1000m,31Mi
1786716861,1000m,31Mi
