Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],2016,0,360,370.280504005764,86.53078199131414,624.7043479816057,868.0,11.990606106239682,0.0,360,420,450,460,500,530,560,570,610,620,620
POST,/post,426,0,260,274.23310761248143,59.198134986218065,743.9506129885558,7.0,2.533729266497075,0.0,260,340,380,400,450,520,560,630,740,740,740
GET,/post/[zipf_id],3228,0,230,256.64665832669425,54.097107000416145,702.7773440058809,169.93804213135067,19.199244301062347,0.0,230,330,370,390,450,490,520,560,660,700,700
,Aggregated,5670,0,300,298.37111340336975,54.097107000416145,743.9506129885558,405.8959435626102,33.7235796737991,0.0,300,360,400,430,480,510,550,570,660,740,740
