Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],1029,0,930,950.0601225472857,34.90700002294034,2769.452100037597,854.9261418853256,6.403196739514838,0.0,930,1400,1500,1500,1600,1700,1800,1900,2700,2800,2800
POST,/post,701,1,1100,898.726036661612,17.67549995565787,1665.9334000432864,6.990014265335235,4.362138886686007,0.0062227373561854595,1100,1200,1200,1300,1400,1400,1500,1500,1700,1700,1700
GET,/post/[zipf_id],5049,0,1100,988.7832407214306,18.84139998583123,2966.947800014168,168.32244008714596,31.418600911380388,0.0,1100,1200,1300,1300,1400,1500,1500,1600,1800,3000,3000
,Aggregated,6779,1,1100,973.5927718252566,17.67549995565787,2966.947800014168,255.86059890839357,42.18393653758123,0.0062227373561854595,1100,1200,1300,1300,1400,1500,1600,1700,2300,3000,3000
