Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/feed/[id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",1,2026-08-17T02:38:24Z,2026-08-17T02:38:24Z
GET,/post/[zipf_id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",2,2026-08-17T02:38:12Z,2026-08-17T02:38:54Z
