timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786934449,1000m,27Mi,177m,24Mi
1786934450,1000m,27Mi,177m,24Mi
1786934451,1000m,27Mi,177m,24Mi
1786934453,1000m,27Mi,177m,24Mi
1786934454,1000m,27Mi,166m,25Mi
1786934455,1000m,27Mi,166m,25Mi
1786934456,1000m,27Mi,166m,25Mi
1786934457,1000m,27Mi,166m,25Mi
1786934458,1000m,27Mi,166m,25Mi
1786934459,1000m,27Mi,166m,25Mi
1786934460,1000m,27Mi,166m,25Mi
1786934462,1000m,27Mi,166m,25Mi
1786934463,1000m,27Mi,166m,25Mi
1786934464,1000m,27Mi,166m,25Mi
1786934465,1000m,27Mi,166m,25Mi
1786934466,1000m,27Mi,166m,25Mi
1786934467,1000m,27Mi,166m,25Mi
1786934468,999m,28Mi,162m,25Mi
1786934469,999m,28Mi,162m,25Mi
1786934471,999m,28Mi,162m,25Mi
1786934472,999m,28Mi,162m,25Mi
1786934473,999m,28Mi,162m,25Mi
1786934474,999m,28Mi,162m,25Mi
1786934475,999m,28Mi,162m,25Mi
1786934476,999m,28Mi,162m,25Mi
1786934477,999m,28Mi,162m,25Mi
1786934478,999m,28Mi,162m,25Mi
1786934480,999m,28Mi,162m,25Mi
1786934481,999m,28Mi,162m,25Mi
1786934482,999m,28Mi,162m,25Mi
1786934483,999m,28Mi,162m,25Mi
1786934484,1000m,27Mi,158m,26Mi
1786934485,1000m,27Mi,158m,26Mi
1786934486,1000m,27Mi,158m,26Mi
1786934488,1000m,27Mi,158m,26Mi
1786934489,1000m,27Mi,158m,26Mi
1786934490,1000m,27Mi,158m,26Mi
1786934491,1000m,27Mi,158m,26Mi
1786934492,1000m,27Mi,158m,26Mi
1786934493,1000m,27Mi,158m,26Mi
1786934494,1000m,27Mi,158m,26Mi
1786934495,1000m,27Mi,158m,26Mi
1786934497,1000m,27Mi,158m,26Mi
1786934498,1000m,27Mi,158m,26Mi
1786934499,999m,28Mi,150m,25Mi
1786934500,999m,28Mi,150m,25Mi
1786934501,999m,28Mi,150m,25Mi
1786934502,999m,28Mi,150m,25Mi
1786934503,999m,28Mi,150m,25Mi
1786934504,999m,28Mi,150m,25Mi
1786934506,999m,28Mi,150m,25Mi
1786934507,999m,28Mi,150m,25Mi
1786934508,999m,28Mi,150m,25Mi
1786934509,999m,28Mi,150m,25Mi
1786934510,999m,28Mi,150m,25Mi
1786934511,999m,28Mi,150m,25Mi
1786934512,999m,28Mi,150m,25Mi
1786934513,999m,28Mi,151m,25Mi
1786934515,999m,28Mi,151m,25Mi
1786934516,999m,28Mi,151m,25Mi
1786934517,999m,28Mi,151m,25Mi
1786934518,999m,28Mi,151m,25Mi
1786934519,999m,28Mi,151m,25Mi
1786934520,999m,28Mi,151m,25Mi
1786934521,999m,28Mi,151m,25Mi
1786934522,999m,28Mi,151m,25Mi
1786934523,999m,28Mi,151m,25Mi
1786934525,999m,28Mi,151m,25Mi
1786934526,999m,28Mi,151m,25Mi
1786934527,999m,28Mi,151m,25Mi
1786934528,999m,28Mi,151m,25Mi
1786934529,1000m,30Mi,148m,25Mi
1786934530,1000m,30Mi,148m,25Mi
1786934531,1000m,30Mi,148m,25Mi
1786934532,1000m,30Mi,148m,25Mi
1786934534,1000m,30Mi,148m,25Mi
1786934535,1000m,30Mi,148m,25Mi
1786934536,1000m,30Mi,148m,25Mi
1786934537,1000m,30Mi,148m,25Mi
1786934538,1000m,30Mi,148m,25Mi
1786934539,1000m,30Mi,148m,25Mi
1786934540,1000m,30Mi,148m,25Mi
1786934541,1000m,30Mi,148m,25Mi
1786934543,1000m,30Mi,148m,25Mi
1786934544,1000m,29Mi,139m,24Mi
1786934545,1000m,29Mi,139m,24Mi
1786934546,1000m,29Mi,139m,24Mi
1786934547,1000m,29Mi,139m,24Mi
1786934548,1000m,29Mi,139m,24Mi
1786934549,1000m,29Mi,139m,24Mi
1786934550,1000m,29Mi,139m,24Mi
1786934551,1000m,29Mi,139m,24Mi
1786934553,1000m,29Mi,139m,24Mi
1786934554,1000m,29Mi,139m,24Mi
1786934555,1000m,29Mi,139m,24Mi
1786934556,1000m,29Mi,139m,24Mi
1786934557,1000m,29Mi,139m,24Mi
1786934558,1000m,29Mi,139m,24Mi
1786934559,1000m,29Mi,138m,26Mi
1786934560,1000m,29Mi,138m,26Mi
1786934561,1000m,29Mi,138m,26Mi
1786934563,1000m,29Mi,138m,26Mi
1786934564,1000m,29Mi,138m,26Mi
1786934565,1000m,29Mi,138m,26Mi
1786934566,1000m,29Mi,138m,26Mi
1786934567,1000m,29Mi,138m,26Mi
1786934568,1000m,29Mi,138m,26Mi
1786934569,1000m,29Mi,138m,26Mi
1786934570,1000m,29Mi,138m,26Mi
1786934572,1000m,29Mi,138m,26Mi
1786934573,1000m,29Mi,138m,26Mi
1786934574,1000m,30Mi,136m,24Mi
1786934575,1000m,30Mi,136m,24Mi
1786934576,1000m,30Mi,136m,24Mi
1786934577,1000m,30Mi,136m,24Mi
1786934578,1000m,30Mi,136m,24Mi
1786934579,1000m,30Mi,136m,24Mi
1786934581,1000m,30Mi,136m,24Mi
1786934582,1000m,30Mi,136m,24Mi
1786934583,1000m,30Mi,136m,24Mi
1786934584,1000m,30Mi,136m,24Mi
1786934585,1000m,30Mi,136m,24Mi
1786934586,1000m,30Mi,136m,24Mi
1786934587,1000m,30Mi,136m,24Mi
1786934588,1000m,30Mi,126m,25Mi
1786934590,1000m,30Mi,126m,25Mi
1786934591,1000m,30Mi,126m,25Mi
1786934592,1000m,30Mi,126m,25Mi
1786934593,1000m,30Mi,126m,25Mi
1786934594,1000m,30Mi,126m,25Mi
1786934595,1000m,30Mi,126m,25Mi
1786934596,1000m,30Mi,126m,25Mi
1786934597,1000m,30Mi,126m,25Mi
1786934598,1000m,30Mi,126m,25Mi
1786934600,1000m,30Mi,126m,25Mi
1786934601,1000m,30Mi,126m,25Mi
1786934602,1000m,30Mi,126m,25Mi
1786934603,1000m,30Mi,126m,25Mi
1786934604,1000m,31Mi,127m,25Mi
1786934605,1000m,31Mi,127m,25Mi
1786934606,1000m,31Mi,127m,25Mi
1786934608,1000m,31Mi,127m,25Mi
1786934609,1000m,31Mi,127m,25Mi
1786934610,1000m,31Mi,127m,25Mi
1786934611,1000m,31Mi,127m,25Mi
1786934612,1000m,31Mi,127m,25Mi
1786934613,1000m,31Mi,127m,25Mi
1786934614,1000m,31Mi,127m,25Mi
1786934615,1000m,31Mi,127m,25Mi
1786934617,1000m,31Mi,127m,25Mi
1786934618,1000m,31Mi,127m,25Mi
1786934619,1000m,30Mi,123m,25Mi
1786934620,1000m,30Mi,123m,25Mi
1786934621,1000m,30Mi,123m,25Mi
1786934622,1000m,30Mi,123m,25Mi
1786934623,1000m,30Mi,123m,25Mi
1786934624,1000m,30Mi,123m,25Mi
1786934626,1000m,30Mi,123m,25Mi
1786934627,1000m,30Mi,123m,25Mi
1786934628,1000m,30Mi,123m,25Mi
1786934629,1000m,30Mi,123m,25Mi
1786934630,1000m,30Mi,123m,25Mi
1786934631,1000m,30Mi,123m,25Mi
1786934632,1000m,30Mi,123m,25Mi
1786934634,999m,30Mi,120m,24Mi
1786934635,999m,30Mi,120m,24Mi
1786934636,999m,30Mi,120m,24Mi
1786934637,999m,30Mi,120m,24Mi
1786934638,999m,30Mi,120m,24Mi
1786934639,999m,30Mi,120m,24Mi
1786934640,999m,30Mi,120m,24Mi
1786934641,999m,30Mi,120m,24Mi
1786934643,999m,30Mi,120m,24Mi
1786934644,999m,30Mi,120m,24Mi
1786934645,999m,30Mi,120m,24Mi
1786934646,999m,30Mi,120m,24Mi
1786934647,999m,30Mi,120m,24Mi
1786934648,999m,30Mi,120m,24Mi
1786934649,999m,30Mi,116m,24Mi
1786934650,999m,30Mi,116m,24Mi
1786934652,999m,30Mi,116m,24Mi
1786934653,999m,30Mi,116m,24Mi
1786934654,999m,30Mi,116m,24Mi
1786934655,999m,30Mi,116m,24Mi
1786934656,999m,30Mi,116m,24Mi
1786934657,999m,30Mi,116m,24Mi
1786934658,999m,30Mi,116m,24Mi
1786934659,999m,30Mi,116m,24Mi
1786934660,999m,30Mi,116m,24Mi
1786934662,999m,30Mi,116m,24Mi
1786934663,999m,30Mi,116m,24Mi
1786934664,290m,28Mi,27m,24Mi
1786934665,290m,28Mi,27m,24Mi
1786934666,290m,28Mi,27m,24Mi
1786934667,290m,28Mi,27m,24Mi
1786934668,290m,28Mi,27m,24Mi
