Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],2082,0,510,532.3652851862871,94.58006001659669,1528.4583489992656,868.0888568683957,12.382782310894733,0.0,510,580,630,670,780,870,970,1000,1500,1500,1500
POST,/post,480,0,150,260.71248900734645,39.389256009599194,965.7953069836367,7.0,2.8548201293129067,0.0,150,300,430,500,590,670,760,880,970,970,970
GET,/post/[zipf_id],3107,0,170,277.5999899564922,37.713664991315454,1152.8350440203212,169.67396202124235,18.479012795365,0.0,170,330,460,510,610,690,800,890,1000,1200,1200
,Aggregated,5669,0,360,369.7353479054855,37.713664991315454,1528.4583489992656,412.40042335508906,33.71661523557264,0.0,360,490,550,590,680,790,890,970,1400,1500,1500
