timestamp,CPU,Memory
1787249929,64m,20Mi
1787249930,64m,20Mi
1787249931,64m,20Mi
1787249932,64m,20Mi
1787249933,64m,20Mi
1787249934,100m,21Mi
1787249935,100m,21Mi
1787249936,100m,21Mi
1787249937,100m,21Mi
1787249938,100m,21Mi
1787249940,100m,21Mi
1787249941,100m,21Mi
1787249942,100m,21Mi
1787249943,100m,21Mi
1787249944,100m,21Mi
1787249945,100m,21Mi
1787249946,100m,21Mi
1787249947,100m,21Mi
1787249948,100m,21Mi
1787249949,100m,21Mi
1787249950,100m,21Mi
1787249951,100m,21Mi
1787249952,100m,21Mi
1787249953,100m,21Mi
1787249954,100m,21Mi
1787249956,100m,21Mi
1787249957,100m,21Mi
1787249958,100m,21Mi
1787249959,100m,21Mi
1787249960,100m,21Mi
1787249961,100m,21Mi
1787249962,100m,21Mi
1787249963,100m,21Mi
1787249964,248m,22Mi
1787249965,248m,22Mi
1787249966,248m,22Mi
1787249967,248m,22Mi
1787249968,248m,22Mi
1787249969,248m,22Mi
1787249970,248m,22Mi
1787249971,248m,22Mi
1787249973,248m,22Mi
1787249974,248m,22Mi
1787249975,248m,22Mi
1787249976,248m,22Mi
1787249977,248m,22Mi
1787249978,248m,22Mi
1787249979,339m,22Mi
1787249980,339m,22Mi
1787249981,339m,22Mi
1787249982,339m,22Mi
1787249983,339m,22Mi
1787249984,339m,22Mi
1787249985,339m,22Mi
1787249986,339m,22Mi
1787249987,339m,22Mi
1787249989,339m,22Mi
1787249990,339m,22Mi
1787249991,339m,22Mi
1787249992,339m,22Mi
1787249993,339m,22Mi
1787249994,449m,22Mi
1787249995,449m,22Mi
1787249996,449m,22Mi
1787249997,449m,22Mi
1787249998,449m,22Mi
1787249999,449m,22Mi
1787250000,449m,22Mi
1787250001,449m,22Mi
1787250002,449m,22Mi
1787250003,449m,22Mi
1787250004,449m,22Mi
1787250006,449m,22Mi
1787250007,449m,22Mi
1787250008,449m,22Mi
1787250009,509m,21Mi
1787250010,509m,21Mi
1787250011,509m,21Mi
1787250012,509m,21Mi
1787250013,509m,21Mi
1787250014,509m,21Mi
1787250015,509m,21Mi
1787250016,509m,21Mi
1787250017,509m,21Mi
1787250018,509m,21Mi
1787250019,509m,21Mi
1787250020,509m,21Mi
1787250022,509m,21Mi
1787250023,509m,21Mi
1787250024,554m,21Mi
1787250025,554m,21Mi
1787250026,554m,21Mi
1787250027,554m,21Mi
1787250028,554m,21Mi
1787250029,554m,21Mi
1787250030,554m,21Mi
1787250031,554m,21Mi
1787250032,554m,21Mi
1787250033,554m,21Mi
1787250034,554m,21Mi
1787250035,554m,21Mi
1787250036,554m,21Mi
1787250038,554m,21Mi
1787250039,589m,21Mi
1787250040,589m,21Mi
1787250041,589m,21Mi
1787250042,589m,21Mi
1787250043,589m,21Mi
1787250044,589m,21Mi
1787250045,589m,21Mi
1787250046,589m,21Mi
1787250047,589m,21Mi
1787250048,589m,21Mi
1787250049,589m,21Mi
1787250050,589m,21Mi
1787250051,589m,21Mi
1787250052,589m,21Mi
1787250054,677m,21Mi
1787250055,677m,21Mi
1787250056,677m,21Mi
1787250057,677m,21Mi
1787250058,677m,21Mi
1787250059,677m,21Mi
1787250060,677m,21Mi
1787250061,677m,21Mi
1787250062,677m,21Mi
1787250063,677m,21Mi
1787250064,677m,21Mi
1787250065,677m,21Mi
1787250066,677m,21Mi
1787250067,677m,21Mi
1787250068,733m,22Mi
1787250070,733m,22Mi
1787250071,733m,22Mi
1787250072,733m,22Mi
1787250073,733m,22Mi
1787250074,733m,22Mi
1787250075,733m,22Mi
1787250076,733m,22Mi
1787250077,733m,22Mi
1787250078,733m,22Mi
1787250079,733m,22Mi
1787250080,733m,22Mi
1787250081,733m,22Mi
1787250082,733m,22Mi
1787250083,734m,22Mi
1787250085,734m,22Mi
1787250086,734m,22Mi
1787250087,734m,22Mi
1787250088,734m,22Mi
1787250089,734m,22Mi
1787250090,734m,22Mi
1787250091,734m,22Mi
1787250092,734m,22Mi
1787250093,734m,22Mi
1787250094,734m,22Mi
1787250095,734m,22Mi
1787250096,734m,22Mi
1787250097,734m,22Mi
1787250098,799m,22Mi
