timestamp,CPU,Memory
1787249714,65m,20Mi
1787249715,65m,20Mi
1787249716,65m,20Mi
1787249717,65m,20Mi
1787249718,65m,20Mi
1787249719,65m,20Mi
1787249720,65m,20Mi
1787249722,65m,20Mi
1787249723,65m,20Mi
1787249724,65m,20Mi
1787249725,65m,20Mi
1787249726,65m,20Mi
1787249727,65m,20Mi
1787249728,65m,20Mi
1787249729,65m,20Mi
1787249730,65m,20Mi
1787249731,65m,20Mi
1787249732,65m,20Mi
1787249733,65m,20Mi
1787249734,65m,20Mi
1787249735,65m,20Mi
1787249736,65m,20Mi
1787249738,65m,20Mi
1787249739,124m,21Mi
1787249740,124m,21Mi
1787249741,124m,21Mi
1787249742,124m,21Mi
1787249743,124m,21Mi
1787249744,124m,21Mi
1787249745,124m,21Mi
1787249746,124m,21Mi
1787249747,124m,21Mi
1787249748,124m,21Mi
1787249749,124m,21Mi
1787249750,124m,21Mi
1787249751,124m,21Mi
1787249752,124m,21Mi
1787249753,185m,21Mi
1787249755,185m,21Mi
1787249756,185m,21Mi
1787249757,185m,21Mi
1787249758,185m,21Mi
1787249759,185m,21Mi
1787249760,185m,21Mi
1787249761,185m,21Mi
1787249762,185m,21Mi
1787249763,185m,21Mi
1787249764,185m,21Mi
1787249765,185m,21Mi
1787249766,185m,21Mi
1787249767,185m,21Mi
1787249768,295m,21Mi
1787249769,295m,21Mi
1787249771,295m,21Mi
1787249772,295m,21Mi
1787249773,295m,21Mi
1787249774,295m,21Mi
1787249775,295m,21Mi
1787249776,295m,21Mi
1787249777,295m,21Mi
1787249778,295m,21Mi
1787249779,295m,21Mi
1787249780,295m,21Mi
1787249781,295m,21Mi
1787249782,295m,21Mi
1787249783,295m,21Mi
1787249784,411m,20Mi
1787249785,411m,20Mi
1787249786,411m,20Mi
1787249788,411m,20Mi
1787249789,411m,20Mi
1787249790,411m,20Mi
1787249791,411m,20Mi
1787249792,411m,20Mi
1787249793,411m,20Mi
1787249794,411m,20Mi
1787249795,411m,20Mi
1787249796,411m,20Mi
1787249797,411m,20Mi
1787249798,411m,20Mi
1787249799,411m,20Mi
1787249800,411m,20Mi
1787249801,411m,20Mi
1787249802,411m,20Mi
1787249804,411m,20Mi
1787249805,411m,20Mi
1787249806,411m,20Mi
1787249807,411m,20Mi
1787249808,411m,20Mi
1787249809,411m,20Mi
1787249810,411m,20Mi
1787249811,411m,20Mi
1787249812,411m,20Mi
1787249813,411m,20Mi
1787249814,475m,21Mi
1787249815,475m,21Mi
1787249816,475m,21Mi
1787249817,475m,21Mi
1787249818,475m,21Mi
1787249819,475m,21Mi
1787249821,475m,21Mi
1787249822,475m,21Mi
1787249823,475m,21Mi
1787249824,475m,21Mi
1787249825,475m,21Mi
1787249826,475m,21Mi
1787249827,475m,21Mi
1787249828,475m,21Mi
1787249829,545m,21Mi
1787249830,545m,21Mi
1787249831,545m,21Mi
1787249832,545m,21Mi
1787249833,545m,21Mi
1787249834,545m,21Mi
1787249835,545m,21Mi
1787249837,545m,21Mi
1787249838,545m,21Mi
1787249839,545m,21Mi
1787249840,545m,21Mi
1787249841,545m,21Mi
1787249842,545m,21Mi
1787249843,545m,21Mi
1787249844,545m,21Mi
1787249845,545m,21Mi
1787249846,545m,21Mi
1787249847,545m,21Mi
1787249848,545m,21Mi
1787249849,545m,21Mi
1787249850,545m,21Mi
1787249852,545m,21Mi
1787249853,545m,21Mi
1787249854,545m,21Mi
1787249855,545m,21Mi
1787249856,545m,21Mi
1787249857,545m,21Mi
1787249858,545m,21Mi
1787249859,590m,22Mi
1787249860,590m,22Mi
1787249861,590m,22Mi
1787249862,590m,22Mi
1787249863,590m,22Mi
1787249864,590m,22Mi
1787249865,590m,22Mi
1787249866,590m,22Mi
1787249867,590m,22Mi
1787249868,590m,22Mi
1787249870,590m,22Mi
1787249871,590m,22Mi
1787249872,590m,22Mi
1787249873,590m,22Mi
1787249874,697m,21Mi
1787249875,697m,21Mi
1787249876,697m,21Mi
1787249877,697m,21Mi
1787249878,697m,21Mi
1787249879,697m,21Mi
1787249880,697m,21Mi
1787249881,697m,21Mi
1787249882,697m,21Mi
1787249883,697m,21Mi
