Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],2105,0,330,347.4386759227885,52.447705005761236,971.1980440188199,868.1496437054632,12.521671490903827,0.0,330,410,470,500,590,690,770,810,960,970,970
POST,/post,464,0,160,222.00812291377022,42.23000898491591,894.2801719822455,7.0,2.760121411771675,0.0,160,230,290,360,470,570,670,700,890,890,890
GET,/post/[zipf_id],3103,0,180,247.09694315691377,41.52669801260345,972.2798780130688,169.92394456977118,18.458311941223077,0.0,180,270,360,410,520,610,710,800,930,970,970
,Aggregated,5672,0,230,282.28349726117114,41.52669801260345,972.2798780130688,415.72232016925244,33.74010484389858,0.0,230,340,410,450,550,630,740,800,940,970,970
