Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/feed/[id],1974,0,630,738.1041257558112,103.82332399603911,3787.9412500187755,863.0678824721377,11.739489351000508,0.0,630,760,850,920,1200,1500,1900,2200,3400,3800,3800
POST,/post,420,0,110,299.3047132492869,36.29597701365128,2853.723446984077,7.0,2.4977636917022354,0.0,110,300,460,540,760,930,1300,1900,2900,2900,2900
GET,/post/[zipf_id],3045,0,150,314.9978008686698,37.154169025598094,3318.657973984955,169.21083743842365,18.108786764841206,0.0,150,310,480,560,780,1000,1500,1700,2700,3300,3300
,Aggregated,5439,0,420,467.34580390729366,36.29597701365128,3787.9412500187755,408.5094686523258,32.34603980754395,0.0,420,580,670,740,950,1300,1700,2000,3100,3800,3800
