timestamp,dana_cpu,dana_mem,remote_cpu,remote_mem
1786763234,1000m,24Mi,175m,26Mi
1786763235,1000m,24Mi,175m,26Mi
1786763236,1000m,24Mi,175m,26Mi
1786763237,1000m,24Mi,175m,26Mi
1786763238,1000m,24Mi,175m,26Mi
1786763239,1000m,24Mi,175m,26Mi
1786763240,1000m,24Mi,175m,26Mi
1786763241,1000m,24Mi,175m,26Mi
1786763243,1000m,24Mi,175m,26Mi
1786763244,1000m,24Mi,160m,25Mi
1786763245,1000m,24Mi,160m,25Mi
1786763246,1000m,24Mi,160m,25Mi
1786763247,1000m,24Mi,160m,25Mi
1786763248,1000m,24Mi,160m,25Mi
1786763249,1000m,24Mi,160m,25Mi
1786763250,1000m,24Mi,160m,25Mi
1786763252,1000m,24Mi,160m,25Mi
1786763253,1000m,24Mi,160m,25Mi
1786763254,1000m,24Mi,160m,25Mi
1786763255,1000m,24Mi,160m,25Mi
1786763256,1000m,24Mi,160m,25Mi
1786763257,1000m,24Mi,160m,25Mi
1786763258,1000m,24Mi,160m,25Mi
1786763259,1000m,24Mi,160m,25Mi
1786763261,1000m,24Mi,160m,25Mi
1786763262,1000m,24Mi,160m,25Mi
1786763263,1000m,24Mi,160m,25Mi
1786763264,1000m,24Mi,160m,25Mi
1786763265,1000m,24Mi,160m,25Mi
1786763266,1000m,24Mi,160m,25Mi
1786763267,1000m,24Mi,160m,25Mi
1786763268,1000m,24Mi,160m,25Mi
1786763270,1000m,24Mi,160m,25Mi
1786763271,1000m,24Mi,160m,25Mi
1786763272,1000m,24Mi,160m,25Mi
1786763273,1000m,24Mi,160m,25Mi
1786763274,1000m,29Mi,152m,24Mi
1786763275,1000m,29Mi,152m,24Mi
1786763276,1000m,29Mi,152m,24Mi
1786763277,1000m,29Mi,152m,24Mi
1786763279,1000m,29Mi,152m,24Mi
1786763280,1000m,29Mi,152m,24Mi
1786763281,1000m,29Mi,152m,24Mi
1786763282,1000m,29Mi,152m,24Mi
1786763283,1000m,29Mi,152m,24Mi
1786763284,1000m,29Mi,152m,24Mi
1786763285,1000m,29Mi,152m,24Mi
1786763286,1000m,29Mi,152m,24Mi
1786763288,1000m,29Mi,152m,24Mi
1786763289,990m,29Mi,152m,27Mi
1786763290,990m,29Mi,152m,27Mi
1786763291,990m,29Mi,152m,27Mi
1786763292,990m,29Mi,152m,27Mi
1786763293,990m,29Mi,152m,27Mi
1786763294,990m,29Mi,152m,27Mi
1786763295,990m,29Mi,152m,27Mi
1786763297,990m,29Mi,152m,27Mi
1786763298,990m,29Mi,152m,27Mi
1786763299,990m,29Mi,152m,27Mi
1786763300,990m,29Mi,152m,27Mi
1786763301,990m,29Mi,152m,27Mi
1786763302,990m,29Mi,152m,27Mi
1786763303,990m,29Mi,152m,27Mi
1786763304,994m,32Mi,149m,25Mi
1786763306,994m,32Mi,149m,25Mi
1786763307,994m,32Mi,149m,25Mi
1786763308,994m,32Mi,149m,25Mi
1786763309,994m,32Mi,149m,25Mi
1786763310,994m,32Mi,149m,25Mi
1786763311,994m,32Mi,149m,25Mi
1786763312,994m,32Mi,149m,25Mi
1786763313,994m,32Mi,149m,25Mi
1786763315,994m,32Mi,149m,25Mi
1786763316,994m,32Mi,149m,25Mi
1786763317,994m,32Mi,149m,25Mi
1786763318,994m,32Mi,149m,25Mi
1786763319,998m,33Mi,146m,24Mi
1786763320,998m,33Mi,146m,24Mi
1786763321,998m,33Mi,146m,24Mi
1786763322,998m,33Mi,146m,24Mi
1786763324,998m,33Mi,146m,24Mi
1786763325,998m,33Mi,146m,24Mi
1786763326,998m,33Mi,146m,24Mi
1786763327,998m,33Mi,146m,24Mi
1786763328,998m,33Mi,146m,24Mi
1786763329,998m,33Mi,146m,24Mi
1786763330,998m,33Mi,146m,24Mi
1786763331,998m,33Mi,146m,24Mi
1786763333,998m,33Mi,146m,24Mi
1786763334,1000m,34Mi,140m,26Mi
1786763335,1000m,34Mi,140m,26Mi
1786763336,1000m,34Mi,140m,26Mi
1786763337,1000m,34Mi,140m,26Mi
1786763338,1000m,34Mi,140m,26Mi
1786763339,1000m,34Mi,140m,26Mi
1786763340,1000m,34Mi,140m,26Mi
1786763341,1000m,34Mi,140m,26Mi
1786763343,1000m,34Mi,140m,26Mi
1786763344,1000m,34Mi,140m,26Mi
1786763345,1000m,34Mi,140m,26Mi
1786763346,1000m,34Mi,140m,26Mi
1786763347,1000m,34Mi,140m,26Mi
1786763348,1000m,34Mi,140m,26Mi
1786763349,1000m,33Mi,138m,24Mi
1786763350,1000m,33Mi,138m,24Mi
1786763351,1000m,33Mi,138m,24Mi
1786763353,1000m,33Mi,138m,24Mi
1786763354,1000m,33Mi,138m,24Mi
1786763355,1000m,33Mi,138m,24Mi
1786763356,1000m,33Mi,138m,24Mi
1786763357,1000m,33Mi,138m,24Mi
1786763358,1000m,33Mi,138m,24Mi
1786763359,1000m,33Mi,138m,24Mi
1786763360,1000m,33Mi,138m,24Mi
1786763362,1000m,33Mi,138m,24Mi
1786763363,1000m,33Mi,138m,24Mi
1786763364,1000m,33Mi,135m,24Mi
1786763365,1000m,33Mi,135m,24Mi
1786763366,1000m,33Mi,135m,24Mi
1786763367,1000m,33Mi,135m,24Mi
1786763368,1000m,33Mi,135m,24Mi
1786763369,1000m,33Mi,135m,24Mi
1786763371,1000m,33Mi,135m,24Mi
1786763372,1000m,33Mi,135m,24Mi
1786763373,1000m,33Mi,135m,24Mi
1786763374,1000m,33Mi,135m,24Mi
1786763375,1000m,33Mi,135m,24Mi
1786763376,1000m,33Mi,135m,24Mi
1786763377,1000m,33Mi,135m,24Mi
1786763378,1000m,33Mi,134m,26Mi
1786763380,1000m,33Mi,134m,26Mi
1786763381,1000m,33Mi,134m,26Mi
1786763382,1000m,33Mi,134m,26Mi
1786763383,1000m,33Mi,134m,26Mi
1786763384,1000m,33Mi,134m,26Mi
1786763385,1000m,33Mi,134m,26Mi
1786763386,1000m,33Mi,134m,26Mi
1786763387,1000m,33Mi,134m,26Mi
1786763389,1000m,33Mi,134m,26Mi
1786763390,1000m,33Mi,134m,26Mi
1786763391,1000m,33Mi,134m,26Mi
1786763392,1000m,33Mi,134m,26Mi
1786763393,1000m,33Mi,134m,26Mi
1786763394,1000m,33Mi,132m,25Mi
1786763395,1000m,33Mi,132m,25Mi
1786763396,1000m,33Mi,132m,25Mi
1786763398,1000m,33Mi,132m,25Mi
1786763399,1000m,33Mi,132m,25Mi
1786763400,1000m,33Mi,132m,25Mi
1786763401,1000m,33Mi,132m,25Mi
1786763402,1000m,33Mi,132m,25Mi
1786763403,1000m,33Mi,132m,25Mi
1786763404,1000m,33Mi,132m,25Mi
1786763405,1000m,33Mi,132m,25Mi
1786763407,1000m,33Mi,132m,25Mi
1786763408,1000m,33Mi,132m,25Mi
1786763409,1000m,33Mi,131m,25Mi
1786763410,1000m,33Mi,131m,25Mi
1786763411,1000m,33Mi,131m,25Mi
1786763412,1000m,33Mi,131m,25Mi
1786763413,1000m,33Mi,131m,25Mi
1786763414,1000m,33Mi,131m,25Mi
1786763416,1000m,33Mi,131m,25Mi
1786763417,1000m,33Mi,131m,25Mi
1786763418,1000m,33Mi,131m,25Mi
1786763419,1000m,33Mi,131m,25Mi
1786763420,1000m,33Mi,131m,25Mi
1786763421,1000m,33Mi,131m,25Mi
1786763422,1000m,33Mi,131m,25Mi
1786763423,1000m,33Mi,131m,25Mi
1786763424,1000m,33Mi,124m,24Mi
1786763426,1000m,33Mi,124m,24Mi
1786763427,1000m,33Mi,124m,24Mi
1786763428,1000m,33Mi,124m,24Mi
1786763429,1000m,33Mi,124m,24Mi
