Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory
18,1786717356,20,,Aggregated,5.9,0.0,1400.0,2000.0,2700.0,3000.0,3800.0,4400.0,5400.0,5500.0,5600.0,5600.0,5600.0,110,0,1400.0,1599.0047240989622,46.04758601635695,5647.235459997319,642.3727272727273,2026-08-14 14:22:39,64.0,22.0,15.0,23.0
19,1786717357,20,,Aggregated,6.7,0.0,1100.0,2000.0,2700.0,3000.0,3600.0,4400.0,5500.0,5500.0,5600.0,5600.0,5600.0,130,0,1100.0,1539.5757812621573,46.04758601635695,5647.235459997319,644.2615384615384,2026-08-14 14:22:40,64.0,22.0,15.0,23.0
20,1786717358,20,,Aggregated,7.2,0.0,770.0,1800.0,2600.0,2900.0,3500.0,4800.0,5500.0,5500.0,5600.0,5600.0,5600.0,152,0,720.0,1449.1435057233932,46.04758601635695,5647.235459997319,645.8355263157895,2026-08-14 14:22:41,64.0,22.0,15.0,23.0
21,1786717359,21,,Aggregated,8.1,0.0,540.0,1600.0,2000.0,2700.0,3300.0,4400.0,5500.0,5500.0,5600.0,5600.0,5600.0,178,0,530.0,1270.710573274658,46.04758601635695,5647.235459997319,611.4101123595506,2026-08-14 14:22:42,64.0,22.0,15.0,23.0
22,1786717360,22,,Aggregated,9.5,0.0,420.0,1200.0,1900.0,2600.0,3200.0,4100.0,5500.0,5500.0,5600.0,5600.0,5600.0,193,0,420.0,1186.1826697445276,46.04758601635695,5647.235459997319,595.1139896373057,2026-08-14 14:22:43,64.0,22.0,15.0,23.0
23,1786717361,23,,Aggregated,11.7,0.0,340.0,770.0,1700.0,2000.0,3200.0,4000.0,5400.0,5500.0,5600.0,5600.0,5600.0,223,0,340.0,1068.909540484793,46.04758601635695,5647.235459997319,565.932735426009,2026-08-14 14:22:44,64.0,22.0,15.0,23.0
24,1786717362,24,,Aggregated,13.8,0.0,320.0,660.0,1500.0,1800.0,3100.0,3900.0,5400.0,5500.0,5600.0,5600.0,5600.0,247,0,320.0,992.1337576740448,46.04758601635695,5647.235459997319,544.497975708502,2026-08-14 14:22:45,64.0,22.0,15.0,23.0
25,1786717363,25,,Aggregated,14.9,0.0,300.0,560.0,1100.0,1700.0,3000.0,3800.0,5300.0,5500.0,5600.0,5600.0,5600.0,269,0,300.0,926.6358417273608,46.04758601635695,5647.235459997319,525.553903345725,2026-08-14 14:22:46,64.0,22.0,15.0,23.0
26,1786717364,26,,Aggregated,16.9,0.0,260.0,490.0,840.0,1600.0,2900.0,3600.0,5300.0,5500.0,5600.0,5600.0,5600.0,298,0,260.0,853.7513955071219,46.04758601635695,5647.235459997319,504.9328859060402,2026-08-14 14:22:48,64.0,22.0,15.0,23.0
27,1786717365,27,,Aggregated,18.4,0.0,250.0,440.0,680.0,1400.0,2800.0,3400.0,5200.0,5500.0,5600.0,5600.0,5600.0,325,0,250.0,797.8131414760047,46.04758601635695,5647.235459997319,485.6123076923077,2026-08-14 14:22:49,64.0,22.0,15.0,23.0
28,1786717366,28,,Aggregated,20.2,0.0,250.0,440.0,660.0,1100.0,2700.0,3300.0,5200.0,5500.0,5600.0,5600.0,5600.0,341,0,250.0,775.3618338791915,46.04758601635695,5647.235459997319,472.8387096774193,2026-08-14 14:22:50,64.0,22.0,15.0,23.0
29,1786717367,29,,Aggregated,21.6,0.0,280.0,460.0,680.0,1000.0,2700.0,3300.0,4800.0,5500.0,5600.0,5600.0,5600.0,369,0,280.0,758.7378957882387,46.04758601635695,5647.235459997319,464.9945799457994,2026-08-14 14:22:51,64.0,22.0,15.0,23.0
30,1786717368,30,,Aggregated,23.4,0.0,300.0,460.0,680.0,960.0,2500.0,3200.0,4400.0,5400.0,5600.0,5600.0,5600.0,406,0,300.0,735.84583523572,46.04758601635695,5647.235459997319,455.2832512315271,2026-08-14 14:22:52,64.0,22.0,15.0,23.0
31,1786717369,31,,Aggregated,23.8,0.0,300.0,450.0,640.0,840.0,2000.0,3200.0,4400.0,5400.0,5600.0,5600.0,5600.0,442,0,300.0,703.995594588357,46.04758601635695,5647.235459997319,443.0407239819005,2026-08-14 14:22:53,64.0,22.0,15.0,23.0
32,1786717370,32,,Aggregated,24.8,0.0,300.0,440.0,590.0,770.0,1900.0,3100.0,4100.0,5400.0,5600.0,5600.0,5600.0,472,0,300.0,677.3717831423155,46.04758601635695,5647.235459997319,432.7415254237288,2026-08-14 14:22:54,453.0,23.0,105.0,24.0
33,1786717371,33,,Aggregated,25.3,0.0,300.0,450.0,590.0,730.0,1800.0,3100.0,4100.0,5300.0,5600.0,5600.0,5600.0,505,0,300.0,660.0602411367645,46.04758601635695,5647.235459997319,425.1722772277228,2026-08-14 14:22:55,453.0,23.0,105.0,24.0
34,1786717372,34,,Aggregated,26.7,0.0,290.0,440.0,570.0,690.0,1700.0,3000.0,4100.0,5300.0,5600.0,5600.0,5600.0,543,0,290.0,633.5991558811369,46.04758601635695,5647.235459997319,413.7882136279927,2026-08-14 14:22:57,453.0,23.0,105.0,24.0
35,1786717373,35,,Aggregated,28.1,0.0,290.0,420.0,540.0,680.0,1600.0,2900.0,4000.0,5300.0,5600.0,5600.0,5600.0,577,0,290.0,611.0042143904441,46.04758601635695,5647.235459997319,403.9792027729636,2026-08-14 14:22:58,453.0,23.0,105.0,24.0
36,1786717374,36,,Aggregated,28.5,0.0,290.0,410.0,540.0,650.0,1500.0,2900.0,3900.0,5200.0,5600.0,5600.0,5600.0,614,0,290.0,593.9078507288921,46.04758601635695,5647.235459997319,395.55537459283386,2026-08-14 14:22:59,453.0,23.0,105.0,24.0
37,1786717375,37,,Aggregated,29.8,0.0,290.0,410.0,530.0,640.0,1400.0,2800.0,3900.0,5200.0,5600.0,5600.0,5600.0,632,0,290.0,586.8578137267349,46.04758601635695,5647.235459997319,389.15664556962025,2026-08-14 14:23:00,453.0,23.0,105.0,24.0
38,1786717376,38,,Aggregated,30.5,0.0,300.0,440.0,560.0,660.0,1300.0,2700.0,3800.0,5200.0,5600.0,5600.0,5600.0,671,0,300.0,590.8369385507568,46.04758601635695,5647.235459997319,382.9627421758569,2026-08-14 14:23:01,453.0,23.0,105.0,24.0
39,1786717377,39,,Aggregated,31.5,0.0,320.0,460.0,570.0,680.0,1300.0,2700.0,3600.0,4800.0,5600.0,5600.0,5600.0,713,0,320.0,592.6549412956041,46.04758601635695,5647.235459997319,378.2482468443198,2026-08-14 14:23:02,453.0,23.0,105.0,24.0
40,1786717378,40,,Aggregated,31.0,0.0,330.0,470.0,590.0,690.0,1300.0,2700.0,3600.0,4800.0,5600.0,5600.0,5600.0,738,0,330.0,596.4895838357036,46.04758601635695,5647.235459997319,374.05555555555554,2026-08-14 14:23:03,453.0,23.0,105.0,24.0
41,1786717379,41,,Aggregated,33.0,0.0,340.0,490.0,610.0,730.0,1300.0,2600.0,3500.0,4800.0,5600.0,5600.0,5600.0,767,0,340.0,606.8854517073612,46.04758601635695,5647.235459997319,369.91916558018255,2026-08-14 14:23:04,453.0,23.0,105.0,24.0
42,1786717380,42,,Aggregated,33.5,0.0,360.0,530.0,690.0,800.0,1300.0,2500.0,3400.0,4400.0,5600.0,5600.0,5600.0,806,0,360.0,623.5109292098989,46.04758601635695,5647.235459997319,366.5732009925558,2026-08-14 14:23:06,453.0,23.0,105.0,24.0
43,1786717381,43,,Aggregated,33.8,0.0,380.0,580.0,740.0,860.0,1400.0,2400.0,3400.0,4400.0,5600.0,5600.0,5600.0,846,0,380.0,647.516699249407,46.04758601635695,5647.235459997319,363.8569739952719,2026-08-14 14:23:07,453.0,23.0,105.0,24.0
44,1786717382,44,,Aggregated,33.7,0.0,410.0,630.0,810.0,890.0,1400.0,2000.0,3300.0,4400.0,5600.0,5600.0,5600.0,887,0,410.0,662.1643554865778,46.04758601635695,5647.235459997319,359.4363021420519,2026-08-14 14:23:08,453.0,23.0,105.0,24.0
45,1786717383,45,,Aggregated,33.2,0.0,440.0,680.0,820.0,900.0,1400.0,2000.0,3300.0,4100.0,5600.0,5600.0,5600.0,930,0,440.0,669.5625137223522,46.04758601635695,5647.235459997319,351.7903225806452,2026-08-14 14:23:09,932.0,30.0,201.0,24.0
46,1786717384,46,,Aggregated,34.3,0.0,450.0,700.0,830.0,930.0,1400.0,2000.0,3300.0,4100.0,5600.0,5600.0,5600.0,949,0,450.0,679.8224841441775,46.04758601635695,5647.235459997319,350.36670179135933,2026-08-14 14:23:10,932.0,30.0,201.0,24.0
47,1786717385,47,,Aggregated,34.9,0.0,470.0,730.0,870.0,1000.0,1400.0,2000.0,3200.0,4100.0,5600.0,5600.0,5600.0,983,0,470.0,704.928903062051,46.04758601635695,5647.235459997319,349.8006103763988,2026-08-14 14:23:11,932.0,30.0,201.0,24.0
48,1786717386,48,,Aggregated,35.2,0.0,490.0,760.0,930.0,1100.0,1500.0,2200.0,3200.0,4100.0,5500.0,5600.0,5600.0,1013,0,490.0,730.4429190081884,46.04758601635695,5647.235459997319,350.4995064165844,2026-08-14 14:23:12,932.0,30.0,201.0,24.0
49,1786717387,49,,Aggregated,34.1,0.0,520.0,800.0,1000.0,1200.0,1700.0,2200.0,3200.0,4100.0,5500.0,5600.0,5600.0,1043,0,520.0,755.9555261945021,46.04758601635695,5647.235459997319,348.63758389261744,2026-08-14 14:23:13,932.0,30.0,201.0,24.0
50,1786717388,50,,Aggregated,35.2,0.0,530.0,830.0,1100.0,1200.0,1700.0,2200.0,3200.0,4100.0,5500.0,5600.0,5600.0,1070,0,530.0,778.1838321146581,46.04758601635695,5647.235459997319,348.0336448598131,2026-08-14 14:23:15,932.0,30.0,201.0,24.0
51,1786717389,50,,Aggregated,33.8,0.0,550.0,840.0,1100.0,1300.0,1700.0,2300.0,3200.0,4100.0,5500.0,5600.0,5600.0,1090,0,550.0,799.6520816109254,46.04758601635695,5647.235459997319,349.69174311926605,2026-08-14 14:23:16,932.0,30.0,201.0,24.0
52,1786717390,50,,Aggregated,33.4,0.0,570.0,860.0,1200.0,1300.0,1800.0,2400.0,3200.0,4000.0,5500.0,5600.0,5600.0,1115,0,570.0,827.9865271046407,46.04758601635695,5647.235459997319,348.6188340807175,2026-08-14 14:23:17,932.0,30.0,201.0,24.0
53,1786717391,50,,Aggregated,32.3,0.0,600.0,920.0,1200.0,1400.0,1900.0,2500.0,3200.0,4000.0,5500.0,5600.0,5600.0,1148,0,600.0,859.2233411108431,46.04758601635695,5647.235459997319,346.97648083623693,2026-08-14 14:23:18,932.0,30.0,201.0,24.0
54,1786717392,50,,Aggregated,30.9,0.0,630.0,970.0,1300.0,1400.0,1900.0,2600.0,3200.0,4000.0,5500.0,5600.0,5600.0,1174,0,630.0,881.6156854648365,46.04758601635695,5647.235459997319,347.7853492333901,2026-08-14 14:23:19,932.0,30.0,201.0,24.0
55,1786717393,50,,Aggregated,31.1,0.0,660.0,1000.0,1300.0,1500.0,1900.0,2600.0,3200.0,3900.0,5500.0,5600.0,5600.0,1206,0,660.0,901.7273522980062,46.04758601635695,5647.235459997319,346.94278606965173,2026-08-14 14:23:20,932.0,30.0,201.0,24.0
56,1786717394,50,,Aggregated,29.9,0.0,690.0,1100.0,1400.0,1500.0,2000.0,2600.0,3200.0,3900.0,5500.0,5600.0,5600.0,1233,0,690.0,917.9077358331588,46.04758601635695,5647.235459997319,347.0162206001622,2026-08-14 14:23:21,932.0,30.0,201.0,24.0
57,1786717395,50,,Aggregated,28.0,0.0,720.0,1100.0,1400.0,1500.0,2000.0,2600.0,3200.0,3900.0,5500.0,5600.0,5600.0,1271,0,720.0,940.7429321034116,46.04758601635695,5647.235459997319,345.9685287175452,2026-08-14 14:23:22,932.0,30.0,201.0,24.0
58,1786717396,50,,Aggregated,27.6,0.0,740.0,1200.0,1400.0,1500.0,2000.0,2500.0,3200.0,3800.0,5500.0,5600.0,5600.0,1307,0,740.0,952.5141364161044,46.04758601635695,5647.235459997319,344.20581484315227,2026-08-14 14:23:24,1000.0,32.0,164.0,24.0
59,1786717397,50,,Aggregated,27.9,0.0,760.0,1200.0,1400.0,1500.0,2000.0,2500.0,3200.0,3800.0,5500.0,5600.0,5600.0,1346,0,760.0,961.4299380881774,46.04758601635695,5647.235459997319,340.70059435364044,2026-08-14 14:23:25,1000.0,32.0,164.0,24.0
60,1786717398,50,,Aggregated,28.3,0.0,800.0,1200.0,1400.0,1500.0,2000.0,2500.0,3200.0,3800.0,5500.0,5600.0,5600.0,1377,0,800.0,969.4796673681813,46.04758601635695,5647.235459997319,337.7276688453159,2026-08-14 14:23:26,1000.0,32.0,164.0,24.0
61,1786717399,50,,Aggregated,29.8,0.0,820.0,1200.0,1400.0,1500.0,2000.0,2500.0,3200.0,3600.0,5500.0,5600.0,5600.0,1410,0,820.0,984.588173921352,46.04758601635695,5647.235459997319,338.1340425531915,2026-08-14 14:23:27,1000.0,32.0,164.0,24.0
62,1786717400,50,,Aggregated,30.5,0.0,850.0,1300.0,1400.0,1600.0,2000.0,2500.0,3200.0,3600.0,5500.0,5600.0,5600.0,1442,0,850.0,997.8726577011632,46.04758601635695,5647.235459997319,338.24063800277395,2026-08-14 14:23:28,1000.0,32.0,164.0,24.0
63,1786717401,50,,Aggregated,31.4,0.0,860.0,1300.0,1400.0,1600.0,2000.0,2500.0,3100.0,3600.0,5500.0,5600.0,5600.0,1468,0,860.0,1008.0948176083842,46.04758601635695,5647.235459997319,337.02792915531336,2026-08-14 14:23:29,1000.0,32.0,164.0,24.0
64,1786717402,50,,Aggregated,32.0,0.0,890.0,1300.0,1500.0,1600.0,2000.0,2500.0,3100.0,3600.0,5500.0,5600.0,5600.0,1494,0,890.0,1022.4485430249184,46.04758601635695,5647.235459997319,336.3500669344043,2026-08-14 14:23:30,1000.0,32.0,164.0,24.0
65,1786717403,50,,Aggregated,32.7,0.0,930.0,1300.0,1500.0,1600.0,2000.0,2600.0,3100.0,3500.0,5500.0,5600.0,5600.0,1521,0,930.0,1038.3543347260031,46.04758601635695,5647.235459997319,337.0664036817883,2026-08-14 14:23:31,1000.0,32.0,164.0,24.0
66,1786717404,50,,Aggregated,31.8,0.0,980.0,1300.0,1500.0,1600.0,2100.0,2600.0,3100.0,3500.0,5500.0,5600.0,5600.0,1559,0,980.0,1054.501468708053,46.04758601635695,5647.235459997319,336.5734445157152,2026-08-14 14:23:33,1000.0,32.0,164.0,24.0
67,1786717405,50,,Aggregated,32.2,0.0,1000.0,1400.0,1500.0,1600.0,2100.0,2600.0,3100.0,3500.0,5500.0,5600.0,5600.0,1577,0,1000.0,1060.2274138160633,46.04758601635695,5647.235459997319,336.00634115409,2026-08-14 14:23:34,1000.0,32.0,164.0,24.0
68,1786717406,50,,Aggregated,31.8,0.0,1000.0,1400.0,1500.0,1700.0,2100.0,2600.0,3000.0,3500.0,5500.0,5600.0,5600.0,1609,0,1000.0,1079.5494075672818,46.04758601635695,5647.235459997319,336.9477936606588,2026-08-14 14:23:35,1000.0,32.0,164.0,24.0
69,1786717407,50,,Aggregated,32.6,0.0,1100.0,1400.0,1600.0,1700.0,2100.0,2600.0,3000.0,3500.0,5500.0,5600.0,5600.0,1646,0,1100.0,1090.8160861019292,46.04758601635695,5647.235459997319,335.5510328068044,2026-08-14 14:23:36,1000.0,32.0,164.0,24.0
70,1786717408,50,,Aggregated,30.5,0.0,1100.0,1400.0,1600.0,1700.0,2100.0,2600.0,3000.0,3500.0,5500.0,5600.0,5600.0,1668,0,1100.0,1095.0823253245658,46.04758601635695,5647.235459997319,334.113309352518,2026-08-14 14:23:37,1000.0,32.0,164.0,24.0
