Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/feed/[id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",2,2026-08-15T03:04:45Z,2026-08-15T03:04:51Z
GET,/post/[zipf_id],"ConnectionResetError(10054, 'Foi forçado o cancelamento de uma conexão existente pelo host remoto', None, 10054, None)",2,2026-08-15T03:04:54Z,2026-08-15T03:05:00Z
