cache_size,dana_mean_cpu,dana_max_cpu,remote_mean_cpu,remote_max_cpu,total_mean_cpu,total_max_cpu,dana_mean_memory,remote_mean_memory,total_mean_memory,dana_max_memory,remote_max_memory,total_max_memory
100,0.6043000000000001,0.787,0.14165333333333335,0.19,0.7459533333333332,0.972,29.726666666666667,22.126666666666665,51.85333333333333,38.0,23.0,59.0
200,0.6064,0.771,0.14964000000000002,0.187,0.7560399999999998,0.954,29.36,25.2,54.56,30.0,26.0,56.0
300,0.6378812500000001,0.783,0.16453125000000002,0.302,0.8024125000000002,0.964,29.3875,28.35,57.7375,31.0,30.0,61.0
400,0.6328933333333333,0.795,0.13522666666666666,0.183,0.7681200000000002,0.9710000000000001,29.746666666666666,30.826666666666668,60.57333333333333,31.0,31.0,62.0
500,0.6149666666666667,0.81,0.16201999999999997,0.29,0.7769866666666668,0.9910000000000001,30.113333333333333,33.666666666666664,63.78,31.0,34.0,65.0
