Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory,Elapsed Time (s)
18,1787064208,20,,Aggregated,8.8,0.0,670.0,1100.0,1300.0,1600.0,2400.0,3000.0,3600.0,3600.0,5000.0,5000.0,5000.0,171,0,670,907.52843554386,13.349990000278922,5022.231752998778,670.7602339181286,2026-08-18 14:43:34,83.0,20.0,12.0,20.0,20.0
19,1787064209,20,,Aggregated,9.0,0.0,540.0,970.0,1200.0,1400.0,2100.0,2900.0,3600.0,3600.0,5000.0,5000.0,5000.0,191,0,540,823.8101214502846,13.349990000278922,5022.231752998778,666.9267015706806,2026-08-18 14:43:35,83.0,20.0,12.0,20.0,21.0
20,1787064210,20,,Aggregated,10.2,0.0,350.0,850.0,1100.0,1300.0,2000.0,2900.0,3500.0,3600.0,5000.0,5000.0,5000.0,211,0,350,752.739383962098,13.349990000278922,5022.231752998778,657.1469194312796,2026-08-18 14:43:36,83.0,20.0,12.0,20.0,22.0
21,1787064211,22,,Aggregated,12.1,0.0,220.0,740.0,1100.0,1200.0,1900.0,2800.0,3500.0,3600.0,5000.0,5000.0,5000.0,233,0,220,688.4149319013079,13.349990000278922,5022.231752998778,640.6051502145923,2026-08-18 14:43:38,83.0,20.0,12.0,20.0,24.0
22,1787064212,24,,Aggregated,13.2,0.0,150.0,620.0,970.0,1100.0,1800.0,2700.0,3500.0,3600.0,5000.0,5000.0,5000.0,257,0,150,633.8514098288105,13.349990000278922,5022.231752998778,631.7704280155642,2026-08-18 14:43:39,473.0,20.0,48.0,22.0,25.0
23,1787064213,26,,Aggregated,14.2,0.0,140.0,510.0,850.0,1100.0,1700.0,2500.0,3500.0,3600.0,5000.0,5000.0,5000.0,283,0,140,588.0869793250993,13.349990000278922,5022.231752998778,628.5795053003534,2026-08-18 14:43:40,473.0,20.0,48.0,22.0,26.0
24,1787064214,28,,Aggregated,15.5,0.0,160.0,450.0,760.0,1000.0,1600.0,2500.0,3500.0,3600.0,5000.0,5000.0,5000.0,311,0,160,558.7394991511521,13.349990000278922,5022.231752998778,620.4051446945338,2026-08-18 14:43:41,473.0,20.0,48.0,22.0,27.0
25,1787064215,30,,Aggregated,16.8,0.0,190.0,480.0,740.0,950.0,1600.0,2500.0,3500.0,3600.0,5000.0,5000.0,5000.0,329,0,190,554.789169863245,13.349990000278922,5022.231752998778,612.8054711246201,2026-08-18 14:43:42,473.0,20.0,48.0,22.0,28.0
26,1787064216,30,,Aggregated,18.6,0.0,220.0,510.0,790.0,900.0,1500.0,2400.0,3200.0,3600.0,5000.0,5000.0,5000.0,351,0,220,558.9189933789304,13.349990000278922,5022.231752998778,604.3133903133903,2026-08-18 14:43:43,473.0,20.0,48.0,22.0,29.0
27,1787064217,30,,Aggregated,20.4,0.0,230.0,550.0,850.0,1000.0,1600.0,2200.0,3200.0,3600.0,5000.0,5000.0,5000.0,365,0,230,584.7656442219235,13.349990000278922,5022.231752998778,608.1287671232876,2026-08-18 14:43:44,473.0,20.0,48.0,22.0,30.0
28,1787064218,30,,Aggregated,21.9,0.0,290.0,650.0,950.0,1100.0,1600.0,2100.0,3200.0,3600.0,5000.0,5000.0,5000.0,392,0,290,628.4084123775453,13.349990000278922,5022.231752998778,609.9744897959183,2026-08-18 14:43:45,473.0,20.0,48.0,22.0,31.0
29,1787064219,30,,Aggregated,22.3,0.0,340.0,710.0,1100.0,1300.0,1600.0,2000.0,3000.0,3500.0,5000.0,5000.0,5000.0,424,0,340,649.9255096155606,13.349990000278922,5022.231752998778,601.9150943396227,2026-08-18 14:43:46,473.0,20.0,48.0,22.0,32.0
30,1787064220,30,,Aggregated,22.1,0.0,370.0,730.0,1100.0,1300.0,1600.0,1900.0,2900.0,3500.0,5000.0,5000.0,5000.0,453,0,370,662.6002780176628,13.349990000278922,5022.231752998778,597.0286975717439,2026-08-18 14:43:48,473.0,20.0,48.0,22.0,34.0
31,1787064221,33,,Aggregated,22.4,0.0,340.0,710.0,1000.0,1200.0,1500.0,1800.0,2900.0,3500.0,5000.0,5000.0,5000.0,503,0,340,638.13590739364,13.349990000278922,5022.231752998778,574.5626242544731,2026-08-18 14:43:49,473.0,20.0,48.0,22.0,35.0
32,1787064222,36,,Aggregated,23.4,0.0,320.0,620.0,980.0,1100.0,1500.0,1800.0,2900.0,3500.0,5000.0,5000.0,5000.0,538,0,320,601.5853391394232,13.349990000278922,5022.231752998778,552.1412639405205,2026-08-18 14:43:50,473.0,20.0,48.0,22.0,36.0
33,1787064223,39,,Aggregated,24.6,0.0,280.0,540.0,880.0,1100.0,1500.0,1800.0,2800.0,3500.0,5000.0,5000.0,5000.0,578,0,280,565.5856561263266,13.349990000278922,5022.231752998778,532.2647058823529,2026-08-18 14:43:51,473.0,20.0,48.0,22.0,37.0
