Sample,Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size,Captured Timestamp,Dana CPU,Dana Memory,Remote CPU,Remote Memory,Elapsed Time (s)
82,1787064272,45,,Aggregated,39.4,0.0,510.0,710.0,840.0,930.0,1200.0,1500.0,1700.0,2000.0,3600.0,5000.0,5000.0,2658,0,510,594.1798131155264,13.349990000278922,5022.231752998778,323.8634311512415,2026-08-18 14:44:45,1951.0,30.0,184.0,25.0,91.0
83,1787064273,45,,Aggregated,38.6,0.0,520.0,710.0,850.0,940.0,1200.0,1500.0,1700.0,2000.0,3600.0,5000.0,5000.0,2692,0,520,600.7070123451209,13.349990000278922,5022.231752998778,323.1448736998514,2026-08-18 14:44:46,1951.0,30.0,184.0,25.0,92.0
84,1787064274,45,,Aggregated,37.5,0.0,530.0,720.0,880.0,970.0,1200.0,1500.0,1700.0,2000.0,3600.0,5000.0,5000.0,2735,0,530,608.8130236314689,13.349990000278922,5022.231752998778,322.26069469835465,2026-08-18 14:44:47,1951.0,30.0,184.0,25.0,93.0
85,1787064275,45,,Aggregated,38.8,0.0,540.0,740.0,890.0,990.0,1200.0,1500.0,1700.0,2000.0,3600.0,5000.0,5000.0,2770,0,540,616.5120913209643,13.349990000278922,5022.231752998778,322.10505415162453,2026-08-18 14:44:49,1951.0,30.0,184.0,25.0,95.0
86,1787064276,45,,Aggregated,38.0,0.0,550.0,750.0,910.0,1000.0,1200.0,1500.0,1700.0,1900.0,3600.0,5000.0,5000.0,2808,0,550,624.4572470053702,13.349990000278922,5022.231752998778,321.6470797720798,2026-08-18 14:44:50,1951.0,30.0,184.0,25.0,96.0
87,1787064277,45,,Aggregated,37.9,0.0,550.0,760.0,920.0,1000.0,1200.0,1500.0,1700.0,1900.0,3600.0,5000.0,5000.0,2843,0,550,631.8003299866612,13.349990000278922,5022.231752998778,321.0889905029898,2026-08-18 14:44:51,1951.0,30.0,184.0,25.0,97.0
88,1787064278,45,,Aggregated,38.1,0.0,560.0,770.0,940.0,1000.0,1200.0,1500.0,1800.0,1900.0,3600.0,5000.0,5000.0,2877,0,560,638.8667896527904,13.349990000278922,5022.231752998778,320.3854709767119,2026-08-18 14:44:52,1951.0,30.0,184.0,25.0,98.0
89,1787064279,45,,Aggregated,38.0,0.0,570.0,780.0,960.0,1000.0,1300.0,1500.0,1800.0,2000.0,3600.0,5000.0,5000.0,2905,0,570,645.612740461645,13.349990000278922,5022.231752998778,320.495008605852,2026-08-18 14:44:53,1951.0,30.0,184.0,25.0,99.0
90,1787064280,45,,Aggregated,37.1,0.0,580.0,800.0,970.0,1100.0,1300.0,1600.0,1800.0,2000.0,3600.0,5000.0,5000.0,2943,0,580,655.3762422161332,13.349990000278922,5022.231752998778,320.627590893646,2026-08-18 14:44:54,1960.0,31.0,170.0,24.0,100.0
91,1787064281,45,,Aggregated,37.7,0.0,590.0,820.0,990.0,1100.0,1300.0,1600.0,1800.0,2000.0,3600.0,5000.0,5000.0,2979,0,590,663.3398560869664,13.349990000278922,5022.231752998778,320.3336690164485,2026-08-18 14:44:55,1960.0,31.0,170.0,24.0,101.0
92,1787064282,45,,Aggregated,36.2,0.0,600.0,840.0,1000.0,1100.0,1300.0,1600.0,1800.0,2000.0,3600.0,5000.0,5000.0,3026,0,600,670.8891879121186,13.349990000278922,5022.231752998778,319.6077329808328,2026-08-18 14:44:56,1960.0,31.0,170.0,24.0,102.0
93,1787064283,45,,Aggregated,35.9,0.0,610.0,850.0,1000.0,1100.0,1300.0,1600.0,1800.0,2000.0,3600.0,5000.0,5000.0,3063,0,610,674.5113867887958,13.349990000278922,5022.231752998778,318.4185439111982,2026-08-18 14:44:57,1960.0,31.0,170.0,24.0,103.0
94,1787064284,45,,Aggregated,36.6,0.0,620.0,860.0,1000.0,1100.0,1300.0,1600.0,1800.0,2000.0,3600.0,5000.0,5000.0,3088,0,620,679.8559798031366,13.349990000278922,5022.231752998778,318.5161917098446,2026-08-18 14:44:59,1960.0,31.0,170.0,24.0,105.0
95,1787064285,45,,Aggregated,37.0,0.0,620.0,880.0,1000.0,1100.0,1300.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3132,0,620,688.8620484764023,13.349990000278922,5022.231752998778,318.20402298850576,2026-08-18 14:45:00,1960.0,31.0,170.0,24.0,106.0
96,1787064286,45,,Aggregated,36.8,0.0,630.0,890.0,1000.0,1100.0,1300.0,1600.0,1800.0,2000.0,3600.0,5000.0,5000.0,3165,0,630,693.3062625178801,13.349990000278922,5022.231752998778,317.82116903633494,2026-08-18 14:45:01,1960.0,31.0,170.0,24.0,107.0
97,1787064287,45,,Aggregated,35.4,0.0,640.0,900.0,1000.0,1100.0,1300.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3199,0,640,699.476261350763,13.349990000278922,5022.231752998778,317.3932478899656,2026-08-18 14:45:02,1960.0,31.0,170.0,24.0,108.0
98,1787064288,45,,Aggregated,35.9,0.0,650.0,910.0,1000.0,1100.0,1300.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3244,0,650,706.32408188289,13.349990000278922,5022.231752998778,316.80672009864367,2026-08-18 14:45:03,1960.0,31.0,170.0,24.0,109.0
99,1787064289,45,,Aggregated,35.6,0.0,660.0,920.0,1100.0,1100.0,1300.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3277,0,660,711.0570106265169,13.349990000278922,5022.231752998778,316.287763198047,2026-08-18 14:45:04,1960.0,31.0,170.0,24.0,110.0
100,1787064290,45,,Aggregated,35.7,0.0,670.0,930.0,1100.0,1100.0,1300.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3315,0,670,716.2989206872105,13.349990000278922,5022.231752998778,315.35625942684766,2026-08-18 14:45:05,1960.0,31.0,170.0,24.0,111.0
101,1787064291,45,,Aggregated,36.7,0.0,670.0,940.0,1100.0,1100.0,1300.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3345,0,670,721.533592188372,13.349990000278922,5022.231752998778,315.02959641255603,2026-08-18 14:45:06,1960.0,31.0,170.0,24.0,112.0
102,1787064292,45,,Aggregated,37.0,0.0,680.0,950.0,1100.0,1100.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3383,0,680,728.9373046122087,13.349990000278922,5022.231752998778,315.0443393437777,2026-08-18 14:45:07,1960.0,31.0,170.0,24.0,113.0
103,1787064293,45,,Aggregated,37.2,0.0,690.0,960.0,1100.0,1100.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3418,0,690,734.99037027797,13.349990000278922,5022.231752998778,315.3935049736688,2026-08-18 14:45:09,1954.0,31.0,165.0,24.0,115.0
104,1787064294,45,,Aggregated,36.6,0.0,690.0,970.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3446,0,690,739.2918363189514,13.349990000278922,5022.231752998778,314.57283807312825,2026-08-18 14:45:10,1954.0,31.0,165.0,24.0,116.0
105,1787064295,45,,Aggregated,35.4,0.0,700.0,980.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3492,0,700,746.2448879149782,13.349990000278922,5022.231752998778,314.614833906071,2026-08-18 14:45:11,1954.0,31.0,165.0,24.0,117.0
106,1787064296,45,,Aggregated,35.5,0.0,710.0,990.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3529,0,710,750.0482302791469,13.349990000278922,5022.231752998778,313.5449135732502,2026-08-18 14:45:12,1954.0,31.0,165.0,24.0,118.0
107,1787064297,45,,Aggregated,36.1,0.0,720.0,1000.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3566,0,720,754.310890180345,13.349990000278922,5022.231752998778,312.7535053280987,2026-08-18 14:45:13,1954.0,31.0,165.0,24.0,119.0
108,1787064298,45,,Aggregated,36.1,0.0,720.0,1000.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3605,0,720,758.8106013240268,13.349990000278922,5022.231752998778,312.03245492371707,2026-08-18 14:45:14,1954.0,31.0,165.0,24.0,120.0
109,1787064299,45,,Aggregated,36.5,0.0,730.0,1000.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3640,0,730,763.5057560409678,13.349990000278922,5022.231752998778,311.8156593406593,2026-08-18 14:45:15,1954.0,31.0,165.0,24.0,121.0
110,1787064300,45,,Aggregated,36.7,0.0,740.0,1000.0,1100.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3680,0,740,768.6982754810105,13.349990000278922,5022.231752998778,311.0766304347826,2026-08-18 14:45:16,1954.0,31.0,165.0,24.0,122.0
111,1787064301,45,,Aggregated,36.2,0.0,750.0,1000.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3720,0,750,772.0876686005693,13.349990000278922,5022.231752998778,310.0712365591398,2026-08-18 14:45:17,1954.0,31.0,165.0,24.0,123.0
112,1787064302,45,,Aggregated,36.2,0.0,760.0,1000.0,1100.0,1200.0,1400.0,1600.0,1900.0,2000.0,3600.0,5000.0,5000.0,3750,0,760,776.0040209232309,13.349990000278922,5022.231752998778,309.688,2026-08-18 14:45:18,1954.0,31.0,165.0,24.0,124.0
113,1787064303,45,,Aggregated,36.7,0.0,770.0,1000.0,1100.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3790,0,770,781.5482116169164,13.349990000278922,5022.231752998778,309.44221635883906,2026-08-18 14:45:20,1954.0,31.0,165.0,24.0,126.0
114,1787064304,45,,Aggregated,37.4,0.0,780.0,1000.0,1100.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3825,0,780,784.7289025093137,13.349990000278922,5022.231752998778,308.4491503267974,2026-08-18 14:45:21,1954.0,31.0,165.0,24.0,127.0
115,1787064305,45,,Aggregated,36.9,0.0,790.0,1000.0,1100.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3866,0,790,789.2976778815616,13.349990000278922,5022.231752998778,307.980341438179,2026-08-18 14:45:22,1954.0,31.0,165.0,24.0,128.0
116,1787064306,45,,Aggregated,37.4,0.0,810.0,1100.0,1100.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3900,0,810,792.8427670543895,13.349990000278922,5022.231752998778,307.4874358974359,2026-08-18 14:45:23,1954.0,31.0,165.0,24.0,129.0
117,1787064307,45,,Aggregated,37.7,0.0,810.0,1100.0,1100.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3928,0,810,797.2346631728916,13.349990000278922,5022.231752998778,307.5649185336049,2026-08-18 14:45:24,1964.0,31.0,151.0,24.0,130.0
118,1787064308,45,,Aggregated,37.2,0.0,830.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3971,0,830,803.4043834351838,13.349990000278922,5022.231752998778,307.1304457315538,2026-08-18 14:45:25,1964.0,31.0,151.0,24.0,131.0
119,1787064309,45,,Aggregated,36.9,0.0,840.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3600.0,5000.0,5000.0,3999,0,840,805.7801030420393,13.349990000278922,5022.231752998778,306.4356089022256,2026-08-18 14:45:26,1964.0,31.0,151.0,24.0,132.0
120,1787064310,45,,Aggregated,36.0,0.0,850.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4030,0,840,810.3636608164079,13.349990000278922,5022.231752998778,306.3806451612903,2026-08-18 14:45:27,1964.0,31.0,151.0,24.0,133.0
121,1787064311,45,,Aggregated,36.3,0.0,850.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4060,0,850,815.7714792224428,13.349990000278922,5022.231752998778,306.58103448275864,2026-08-18 14:45:28,1964.0,31.0,151.0,24.0,134.0
122,1787064312,45,,Aggregated,35.8,0.0,860.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4098,0,860,821.4064819041283,13.349990000278922,5022.231752998778,306.5073206442167,2026-08-18 14:45:30,1964.0,31.0,151.0,24.0,136.0
123,1787064313,45,,Aggregated,34.7,0.0,880.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4135,0,880,825.7581623204647,13.349990000278922,5022.231752998778,306.209915356711,2026-08-18 14:45:31,1964.0,31.0,151.0,24.0,137.0
124,1787064314,45,,Aggregated,34.0,0.0,880.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4161,0,880,828.4664684802008,13.349990000278922,5022.231752998778,305.85412160538334,2026-08-18 14:45:32,1964.0,31.0,151.0,24.0,138.0
125,1787064315,45,,Aggregated,34.5,0.0,890.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4201,0,890,833.4028528498236,13.349990000278922,5022.231752998778,305.5151154487027,2026-08-18 14:45:33,1964.0,31.0,151.0,24.0,139.0
126,1787064316,45,,Aggregated,34.4,0.0,900.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4240,0,900,837.0923290434221,13.349990000278922,5022.231752998778,305.05330188679244,2026-08-18 14:45:34,1964.0,31.0,151.0,24.0,140.0
127,1787064317,45,,Aggregated,33.5,0.0,910.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4266,0,900,840.1966975982442,13.349990000278922,5022.231752998778,305.0480543834974,2026-08-18 14:45:35,1964.0,31.0,151.0,24.0,141.0
128,1787064318,45,,Aggregated,33.6,0.0,910.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4301,0,910,845.1037637893754,13.349990000278922,5022.231752998778,304.72122762148337,2026-08-18 14:45:36,1964.0,31.0,151.0,24.0,142.0
129,1787064319,45,,Aggregated,33.9,0.0,920.0,1100.0,1200.0,1200.0,1400.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4328,0,920,848.2041639020576,13.349990000278922,5022.231752998778,304.64856746765247,2026-08-18 14:45:37,1964.0,31.0,151.0,24.0,143.0
130,1787064320,45,,Aggregated,33.8,0.0,920.0,1100.0,1200.0,1200.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4360,0,920,853.2967439851153,13.349990000278922,5022.231752998778,304.5832568807339,2026-08-18 14:45:38,1962.0,31.0,146.0,25.0,144.0
131,1787064321,45,,Aggregated,33.0,0.0,930.0,1100.0,1200.0,1200.0,1500.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4398,0,930,856.968130153729,13.349990000278922,5022.231752998778,303.8572078217372,2026-08-18 14:45:39,1962.0,31.0,146.0,25.0,145.0
132,1787064322,45,,Aggregated,32.9,0.0,940.0,1100.0,1200.0,1200.0,1500.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4435,0,940,860.6296199495148,13.349990000278922,5022.231752998778,303.6078917700113,2026-08-18 14:45:41,1962.0,31.0,146.0,25.0,147.0
133,1787064324,45,,Aggregated,33.0,0.0,950.0,1100.0,1200.0,1200.0,1500.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4472,0,940,863.7480441540935,13.349990000278922,5022.231752998778,303.0869856887299,2026-08-18 14:45:42,1962.0,31.0,146.0,25.0,148.0
134,1787064325,45,,Aggregated,33.7,0.0,950.0,1100.0,1200.0,1300.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4503,0,950,866.7811006786822,13.349990000278922,5022.231752998778,302.789029535865,2026-08-18 14:45:43,1962.0,31.0,146.0,25.0,149.0
135,1787064326,45,,Aggregated,33.7,0.0,960.0,1100.0,1200.0,1300.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4532,0,960,870.1137204082315,13.349990000278922,5022.231752998778,302.7023389232127,2026-08-18 14:45:44,1962.0,31.0,146.0,25.0,150.0
136,1787064327,45,,Aggregated,33.6,0.0,970.0,1100.0,1200.0,1300.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4565,0,970,874.4556438475604,13.349990000278922,5022.231752998778,302.54282584885,2026-08-18 14:45:45,1962.0,31.0,146.0,25.0,151.0
137,1787064328,45,,Aggregated,34.1,0.0,970.0,1100.0,1200.0,1300.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4596,0,970,877.7588627776581,13.349990000278922,5022.231752998778,302.0704960835509,2026-08-18 14:45:46,1962.0,31.0,146.0,25.0,152.0
138,1787064329,45,,Aggregated,33.0,0.0,980.0,1100.0,1200.0,1300.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4630,0,980,881.72731896201,13.349990000278922,5022.231752998778,302.1123110151188,2026-08-18 14:45:47,1962.0,31.0,146.0,25.0,153.0
139,1787064330,45,,Aggregated,32.9,0.0,980.0,1200.0,1200.0,1300.0,1500.0,1700.0,1900.0,2000.0,3500.0,5000.0,5000.0,4658,0,980,884.8561701073644,13.349990000278922,5022.231752998778,301.8774151996565,2026-08-18 14:45:48,1962.0,31.0,146.0,25.0,154.0
140,1787064331,45,,Aggregated,32.9,0.0,990.0,1200.0,1200.0,1300.0,1500.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4686,0,990,889.4244964061262,13.349990000278922,5022.231752998778,302.2385830132309,2026-08-18 14:45:49,1962.0,31.0,146.0,25.0,155.0
141,1787064332,45,,Aggregated,32.9,0.0,990.0,1200.0,1200.0,1300.0,1500.0,1700.0,1900.0,2100.0,3500.0,5000.0,5000.0,4717,0,990,893.2677607825117,13.349990000278922,5022.231752998778,302.06508373966506,2026-08-18 14:45:51,1962.0,31.0,146.0,25.0,157.0
142,1787064333,45,,Aggregated,32.5,0.0,990.0,1200.0,1200.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4745,0,990,897.4587674385895,13.349990000278922,5022.231752998778,302.4208640674394,2026-08-18 14:45:52,1962.0,31.0,146.0,25.0,158.0
143,1787064334,45,,Aggregated,31.9,0.0,1000.0,1200.0,1200.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4782,0,1000,901.7228596217292,13.349990000278922,5022.231752998778,302.23588456712673,2026-08-18 14:45:53,1962.0,31.0,146.0,25.0,159.0
144,1787064335,45,,Aggregated,31.9,0.0,1000.0,1200.0,1200.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4813,0,1000,904.4402574166028,13.349990000278922,5022.231752998778,301.81404529399543,2026-08-18 14:45:54,1961.0,32.0,136.0,25.0,160.0
145,1787064336,45,,Aggregated,30.9,0.0,1000.0,1200.0,1200.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4850,0,1000,907.6084328288872,13.349990000278922,5022.231752998778,301.3055670103093,2026-08-18 14:45:55,1961.0,32.0,136.0,25.0,161.0
146,1787064337,45,,Aggregated,30.9,0.0,1000.0,1200.0,1200.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4885,0,1000,910.748312638097,13.349990000278922,5022.231752998778,301.0689866939611,2026-08-18 14:45:56,1961.0,32.0,136.0,25.0,162.0
147,1787064338,45,,Aggregated,31.6,0.0,1000.0,1200.0,1200.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4915,0,1000,912.64744584519,13.349990000278922,5022.231752998778,300.48036622583925,2026-08-18 14:45:57,1961.0,32.0,136.0,25.0,163.0
148,1787064339,45,,Aggregated,31.6,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4949,0,1000,915.6012306286336,13.349990000278922,5022.231752998778,300.1133562335825,2026-08-18 14:45:58,1961.0,32.0,136.0,25.0,164.0
149,1787064340,45,,Aggregated,31.7,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,4979,0,1000,918.871868235009,13.349990000278922,5022.231752998778,300.0363526812613,2026-08-18 14:45:59,1961.0,32.0,136.0,25.0,165.0
150,1787064341,45,,Aggregated,31.9,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,5015,0,1000,923.0753547471792,13.349990000278922,5022.231752998778,300.07856430707875,2026-08-18 14:46:01,1961.0,32.0,136.0,25.0,167.0
151,1787064342,45,,Aggregated,32.1,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1700.0,2000.0,2100.0,3500.0,5000.0,5000.0,5039,0,1000,925.1503067267524,13.349990000278922,5022.231752998778,299.7080769994046,2026-08-18 14:46:02,1961.0,32.0,136.0,25.0,168.0
152,1787064343,45,,Aggregated,32.9,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5071,0,1000,929.0876696817407,13.349990000278922,5022.231752998778,299.8866101360678,2026-08-18 14:46:03,1961.0,32.0,136.0,25.0,169.0
153,1787064344,45,,Aggregated,32.9,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5099,0,1000,932.3045020927848,13.349990000278922,5022.231752998778,299.9917630908021,2026-08-18 14:46:04,1961.0,32.0,136.0,25.0,170.0
154,1787064345,45,,Aggregated,32.6,0.0,1000.0,1200.0,1300.0,1300.0,1500.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5129,0,1000,935.9778905935104,13.349990000278922,5022.231752998778,300.01150321700135,2026-08-18 14:46:05,1961.0,32.0,136.0,25.0,171.0
155,1787064346,45,,Aggregated,31.8,0.0,1100.0,1200.0,1300.0,1300.0,1500.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5164,0,1100,939.5950362507969,13.349990000278922,5022.231752998778,299.9397753679318,2026-08-18 14:46:06,1961.0,32.0,136.0,25.0,172.0
156,1787064347,45,,Aggregated,31.4,0.0,1100.0,1200.0,1300.0,1300.0,1500.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5197,0,1100,941.9124810925756,13.349990000278922,5022.231752998778,299.3775254954781,2026-08-18 14:46:07,1961.0,32.0,136.0,25.0,173.0
157,1787064348,45,,Aggregated,31.5,0.0,1100.0,1200.0,1300.0,1300.0,1500.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5226,0,1100,944.2633223077144,13.349990000278922,5022.231752998778,299.1953693073096,2026-08-18 14:46:08,1964.0,31.0,135.0,24.0,174.0
158,1787064349,45,,Aggregated,31.0,0.0,1100.0,1200.0,1300.0,1300.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5257,0,1100,947.9696368978732,13.349990000278922,5022.231752998778,299.35799885866464,2026-08-18 14:46:09,1964.0,31.0,135.0,24.0,175.0
159,1787064350,45,,Aggregated,31.2,0.0,1100.0,1200.0,1300.0,1300.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5279,0,1100,950.4640767954384,13.349990000278922,5022.231752998778,299.2862284523584,2026-08-18 14:46:11,1964.0,31.0,135.0,24.0,177.0
160,1787064351,45,,Aggregated,30.7,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5312,0,1100,954.728243440912,13.349990000278922,5022.231752998778,299.3371611445783,2026-08-18 14:46:12,1964.0,31.0,135.0,24.0,178.0
161,1787064352,45,,Aggregated,29.9,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5343,0,1100,957.9805628463644,13.349990000278922,5022.231752998778,299.3681452367584,2026-08-18 14:46:13,1964.0,31.0,135.0,24.0,179.0
162,1787064353,45,,Aggregated,29.7,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5374,0,1100,960.6362840186312,13.349990000278922,5022.231752998778,299.0130256791961,2026-08-18 14:46:14,1964.0,31.0,135.0,24.0,180.0
163,1787064354,45,,Aggregated,30.3,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5402,0,1100,963.4564661081316,13.349990000278922,5022.231752998778,299.15901517956314,2026-08-18 14:46:15,1964.0,31.0,135.0,24.0,181.0
164,1787064355,45,,Aggregated,30.3,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5437,0,1100,966.9053307320448,13.349990000278922,5022.231752998778,298.84771013426524,2026-08-18 14:46:16,1964.0,31.0,135.0,24.0,182.0
165,1787064356,45,,Aggregated,30.2,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5464,0,1100,968.9590196751698,13.349990000278922,5022.231752998778,298.8171669106881,2026-08-18 14:46:17,1964.0,31.0,135.0,24.0,183.0
166,1787064357,45,,Aggregated,31.0,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5500,0,1100,972.00576420275,13.349990000278922,5022.231752998778,298.316,2026-08-18 14:46:18,1964.0,31.0,135.0,24.0,184.0
167,1787064358,45,,Aggregated,29.9,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5530,0,1100,974.2002238423364,13.349990000278922,5022.231752998778,297.96600361663656,2026-08-18 14:46:19,1964.0,31.0,135.0,24.0,185.0
168,1787064359,45,,Aggregated,30.2,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5557,0,1100,977.2039322210048,13.349990000278922,5022.231752998778,297.9420550656829,2026-08-18 14:46:21,1964.0,31.0,135.0,24.0,187.0
169,1787064360,45,,Aggregated,30.2,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5593,0,1100,980.3829258872038,13.349990000278922,5022.231752998778,297.68049347398534,2026-08-18 14:46:22,1964.0,31.0,135.0,24.0,188.0
170,1787064361,45,,Aggregated,29.8,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5623,0,1100,982.2809604261302,13.349990000278922,5022.231752998778,297.3384314422906,2026-08-18 14:46:23,1964.0,31.0,135.0,24.0,189.0
171,1787064362,45,,Aggregated,31.3,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5655,0,1100,984.882797664921,13.349990000278922,5022.231752998778,297.0845269672856,2026-08-18 14:46:24,1962.0,32.0,133.0,24.0,190.0
172,1787064363,45,,Aggregated,31.0,0.0,1100.0,1200.0,1300.0,1400.0,1600.0,1800.0,2000.0,2100.0,3500.0,5000.0,5000.0,5684,0,1100,987.4967306851046,13.349990000278922,5022.231752998778,297.0174173117523,2026-08-18 14:46:25,1962.0,32.0,133.0,24.0,191.0
