timestamp,CPU,Memory
1787104443,426m,19Mi
1787104444,426m,19Mi
1787104445,426m,19Mi
1787104447,426m,19Mi
1787104448,426m,19Mi
1787104449,426m,19Mi
1787104450,426m,19Mi
1787104451,426m,19Mi
1787104452,426m,19Mi
1787104453,426m,19Mi
1787104454,426m,19Mi
1787104455,426m,19Mi
1787104456,426m,19Mi
1787104457,426m,19Mi
1787104458,426m,19Mi
1787104459,426m,19Mi
1787104460,426m,19Mi
1787104462,426m,19Mi
1787104463,426m,19Mi
1787104464,431m,19Mi
1787104465,431m,19Mi
1787104466,431m,19Mi
1787104467,431m,19Mi
1787104468,431m,19Mi
1787104469,431m,19Mi
1787104470,431m,19Mi
1787104471,431m,19Mi
1787104472,431m,19Mi
1787104473,431m,19Mi
1787104474,431m,19Mi
1787104475,431m,19Mi
1787104477,431m,19Mi
1787104478,431m,19Mi
1787104479,436m,20Mi
1787104480,436m,20Mi
1787104481,436m,20Mi
1787104482,436m,20Mi
1787104483,436m,20Mi
1787104484,436m,20Mi
1787104485,436m,20Mi
1787104486,436m,20Mi
1787104487,436m,20Mi
1787104488,436m,20Mi
1787104489,436m,20Mi
1787104490,436m,20Mi
1787104492,436m,20Mi
1787104493,436m,20Mi
1787104494,356m,18Mi
1787104495,356m,18Mi
1787104496,356m,18Mi
1787104497,356m,18Mi
1787104498,356m,18Mi
1787104499,356m,18Mi
1787104500,356m,18Mi
1787104501,356m,18Mi
1787104502,356m,18Mi
1787104503,356m,18Mi
1787104504,356m,18Mi
1787104505,356m,18Mi
1787104506,356m,18Mi
1787104508,356m,18Mi
1787104509,442m,19Mi
1787104510,442m,19Mi
1787104511,442m,19Mi
1787104512,442m,19Mi
1787104513,442m,19Mi
1787104514,442m,19Mi
1787104515,442m,19Mi
1787104516,442m,19Mi
1787104517,442m,19Mi
1787104518,442m,19Mi
1787104519,442m,19Mi
1787104520,442m,19Mi
1787104521,442m,19Mi
1787104523,442m,19Mi
1787104524,442m,19Mi
1787104525,442m,19Mi
1787104526,442m,19Mi
1787104527,442m,19Mi
1787104528,442m,19Mi
1787104529,442m,19Mi
1787104530,442m,19Mi
1787104531,442m,19Mi
1787104532,442m,19Mi
1787104533,442m,19Mi
1787104534,442m,19Mi
1787104535,442m,19Mi
1787104536,442m,19Mi
1787104538,442m,19Mi
1787104539,434m,19Mi
1787104540,434m,19Mi
1787104541,434m,19Mi
1787104542,434m,19Mi
1787104543,434m,19Mi
1787104544,434m,19Mi
1787104545,434m,19Mi
1787104546,434m,19Mi
1787104547,434m,19Mi
1787104548,434m,19Mi
1787104549,434m,19Mi
